,filename,mood,positive_rate,negative_rate,verb,noun,adjective
91,NJU Documents\抖音数据分析ppt\歌词\Rewrite The Stars (Lucian Dai Remix).txt,positive,0.9932,0.0067,4,2,1
92,NJU Documents\抖音数据分析ppt\歌词\Right Now (Na Na Na).txt,negative,0.3375,0.6624,1,0,0
93,NJU Documents\抖音数据分析ppt\歌词\Romeo's Tune.txt,negative,0.4963,0.5036,0,1,0
94,NJU Documents\抖音数据分析ppt\歌词\Salt.txt,negative,0.5,0.5,0,0,0
95,NJU Documents\抖音数据分析ppt\歌词\sans..txt,positive,0.9932,0.0067,4,2,1
96,NJU Documents\抖音数据分析ppt\歌词\september (抖音DJ热搜版).txt,positive,0.9932,0.0067,4,2,1
97,NJU Documents\抖音数据分析ppt\歌词\september.txt,positive,0.9999,3.4981,3,6,1
98,NJU Documents\抖音数据分析ppt\歌词\Seven Sticks of Dynamite.txt,negative,0.5,0.5,0,0,0
99,NJU Documents\抖音数据分析ppt\歌词\Señorita.txt,positive,0.9042,0.0957,0,0,0
100,NJU Documents\抖音数据分析ppt\歌词\Shalala Lala.txt,negative,0.5,0.5,0,0,0
101,NJU Documents\抖音数据分析ppt\歌词\Small Axe.txt,positive,0.6742,0.3257,0,0,0
102,NJU Documents\抖音数据分析ppt\歌词\Sound of Silence.txt,negative,0.3964,0.6035,0,0,0
103,NJU Documents\抖音数据分析ppt\歌词\Stan (热播版).txt,positive,0.9932,0.0067,4,2,1
104,NJU Documents\抖音数据分析ppt\歌词\Stay Calm.txt,negative,0.5,0.5,0,0,0
105,NJU Documents\抖音数据分析ppt\歌词\Tes River's Hymn.txt,positive,0.9407,0.0592,0,2,0
106,NJU Documents\抖音数据分析ppt\歌词\The Cure.txt,positive,0.7085,0.2914,1,0,0
107,NJU Documents\抖音数据分析ppt\歌词\The Party Troll.txt,positive,0.9932,0.0067,4,2,1
108,NJU Documents\抖音数据分析ppt\歌词\The Sounds Of Silence (纯音乐版).txt,positive,0.9932,0.0067,4,2,1
109,NJU Documents\抖音数据分析ppt\歌词\The Waiting Game.txt,positive,0.8314,0.1685,1,2,0
110,NJU Documents\抖音数据分析ppt\歌词\Thrift Shop.txt,negative,0.0291,0.9708,0,1,0
111,NJU Documents\抖音数据分析ppt\歌词\Time Back.txt,positive,0.9932,0.0067,4,2,1
112,NJU Documents\抖音数据分析ppt\歌词\Toca.txt,negative,0.4775,0.5224,1,1,0
113,NJU Documents\抖音数据分析ppt\歌词\Trampoline.txt,positive,0.8312,0.1687,0,0,0
114,NJU Documents\抖音数据分析ppt\歌词\Treasure boy.txt,positive,0.9999,6.7069,66,41,14
115,NJU Documents\抖音数据分析ppt\歌词\Trip.txt,positive,0.9932,0.0067,4,2,1
116,NJU Documents\抖音数据分析ppt\歌词\Waiting For Love (Remix).txt,negative,0.5,0.5,0,0,0
117,NJU Documents\抖音数据分析ppt\歌词\Wanna Be Starting Something.txt,negative,0.5,0.5,0,0,0
118,NJU Documents\抖音数据分析ppt\歌词\We Are Perfect.txt,negative,0.5,0.5,0,0,0
119,NJU Documents\抖音数据分析ppt\歌词\we will rock you.txt,positive,0.5456,0.4543,0,1,0
120,NJU Documents\抖音数据分析ppt\歌词\Welcome to Planet Urf (欢迎来到海牛星).txt,positive,0.9932,0.0067,4,2,1
121,NJU Documents\抖音数据分析ppt\歌词\Welcome to Planet Urf.txt,positive,0.9932,0.0067,4,2,1
122,NJU Documents\抖音数据分析ppt\歌词\When You Left Me.txt,negative,0.5,0.5,0,0,0
123,NJU Documents\抖音数据分析ppt\歌词\Where Is Your Love.txt,positive,0.6316,0.3683,1,0,0
124,NJU Documents\抖音数据分析ppt\歌词\Wild (Perfect Mix).txt,negative,0.5,0.5,0,0,0
125,NJU Documents\抖音数据分析ppt\歌词\Wild.txt,negative,0.5,0.5,0,0,0
126,NJU Documents\抖音数据分析ppt\歌词\Woman.txt,positive,0.5379,0.4620,0,1,0
127,NJU Documents\抖音数据分析ppt\歌词\Wonderful U.txt,positive,0.8097,0.1902,0,0,1
128,NJU Documents\抖音数据分析ppt\歌词\Wrap Me in plastic (片段).txt,negative,0.5,0.5,0,0,0
129,NJU Documents\抖音数据分析ppt\歌词\Wrap Me In Plastic.txt,negative,0.5,0.5,0,0,0
130,NJU Documents\抖音数据分析ppt\歌词\You.txt,positive,0.9932,0.0067,4,2,1
131,NJU Documents\抖音数据分析ppt\歌词\всю жизнь.txt,negative,0.5,0.5,0,0,0
132,NJU Documents\抖音数据分析ppt\歌词\это ли счастье (热搜版).txt,negative,0.1567,0.8432,1,1,1
133,NJU Documents\抖音数据分析ppt\歌词\это ли счастье.txt,negative,0.5,0.5,0,0,0
134,NJU Documents\抖音数据分析ppt\歌词\いつも何度でも (永远同在).txt,positive,0.9912,0.0087,22,6,5
135,NJU Documents\抖音数据分析ppt\歌词\お断りします.txt,negative,6.6613,0.9999,42,6,3
136,NJU Documents\抖音数据分析ppt\歌词\がまんして下さい.txt,positive,0.9932,0.0067,4,2,1
137,NJU Documents\抖音数据分析ppt\歌词\これがオタクの生きる道.txt,positive,0.9932,0.0067,4,2,1
138,NJU Documents\抖音数据分析ppt\歌词\カトラリー (餐具).txt,positive,0.8576,0.1423,5,2,1
139,NJU Documents\抖音数据分析ppt\歌词\フンフンギターだよ、らき☆すた.txt,positive,0.9548,0.0451,4,2,1
140,NJU Documents\抖音数据分析ppt\歌词\一剪梅.txt,positive,0.9094,0.0906,19,22,2
141,NJU Documents\抖音数据分析ppt\歌词\一千零一次我爱你.txt,positive,0.9974,0.0026,68,19,5
142,NJU Documents\抖音数据分析ppt\歌词\一口一口.txt,negative,0.4013,0.5987,71,33,20
143,NJU Documents\抖音数据分析ppt\歌词\一晃就老了 (DJ版).txt,negative,0.0527,0.9473,52,25,41
144,NJU Documents\抖音数据分析ppt\歌词\一曲红尘.txt,positive,0.8068,0.1932,47,27,8
145,NJU Documents\抖音数据分析ppt\歌词\一生与你擦肩而过.txt,positive,0.8679,0.1321,65,33,8
146,NJU Documents\抖音数据分析ppt\歌词\一生回味一面 (Live片段).txt,positive,0.9854,0.0146,85,36,4
147,NJU Documents\抖音数据分析ppt\歌词\一直很安静.txt,positive,0.96,0.04,53,20,10
148,NJU Documents\抖音数据分析ppt\歌词\一秒变身九尾狐 (DJ版).txt,positive,0.9932,0.0067,4,2,1
149,NJU Documents\抖音数据分析ppt\歌词\一腔诗意喂了狗.txt,positive,0.9932,0.0067,4,2,1
150,NJU Documents\抖音数据分析ppt\歌词\万有引力 (DJ版).txt,positive,0.9932,0.0067,4,2,1
151,NJU Documents\抖音数据分析ppt\歌词\万有引力.txt,positive,0.975,0.025,72,70,22
152,NJU Documents\抖音数据分析ppt\歌词\三国恋.txt,positive,0.9784,0.0216,57,42,9
153,NJU Documents\抖音数据分析ppt\歌词\三寸天堂.txt,negative,0.0479,0.9521,59,27,7
154,NJU Documents\抖音数据分析ppt\歌词\三月里的小雨.txt,negative,0.0937,0.9063,50,27,6
155,NJU Documents\抖音数据分析ppt\歌词\上劲儿摇.txt,positive,0.8287,0.1712,3,2,0
156,"NJU Documents\抖音数据分析ppt\歌词\下个,路口,见.txt",positive,0.9759,0.0241,40,31,1
157,NJU Documents\抖音数据分析ppt\歌词\下山.txt,positive,0.9915,0.0085,49,46,22
158,NJU Documents\抖音数据分析ppt\歌词\不分手的恋爱.txt,negative,0.1275,0.8725,110,32,14
159,NJU Documents\抖音数据分析ppt\歌词\不变的音乐Jealousy.txt,positive,0.9932,0.0067,4,2,1
160,NJU Documents\抖音数据分析ppt\歌词\不是所有人都会值得等.txt,positive,0.9463,0.0537,81,55,7
161,NJU Documents\抖音数据分析ppt\歌词\不爱我就别伤害我.txt,negative,0.0366,0.9634,136,25,8
162,NJU Documents\抖音数据分析ppt\歌词\不舍 (DJ何鹏版).txt,positive,0.8776,0.1224,83,21,9
163,NJU Documents\抖音数据分析ppt\歌词\不谓侠.txt,positive,0.5207,0.4793,54,68,17
164,NJU Documents\抖音数据分析ppt\歌词\不配怀念 (DJ69、DJ虞姬、DJ锋锋版).txt,negative,0.0185,0.9815,70,36,11
165,NJU Documents\抖音数据分析ppt\歌词\不配怀念 (DJ版).txt,negative,0.0185,0.9815,70,36,11
166,NJU Documents\抖音数据分析ppt\歌词\不配怀念 (抖音完整DJ原版).txt,negative,0.0328,0.9672,52,23,8
167,NJU Documents\抖音数据分析ppt\歌词\不配怀念.txt,negative,0.0185,0.9815,70,36,11
168,NJU Documents\抖音数据分析ppt\歌词\两个世界 (DJ版).txt,positive,0.9602,0.0398,89,69,28
169,NJU Documents\抖音数据分析ppt\歌词\个人简介.txt,positive,0.5745,0.4255,126,66,18
170,NJU Documents\抖音数据分析ppt\歌词\中国新说唱EP01 RAP01 (Live).txt,positive,0.9799,0.0201,55,29,18
171,NJU Documents\抖音数据分析ppt\歌词\乘风破浪向你飘.txt,positive,0.9226,0.0774,54,50,13
172,NJU Documents\抖音数据分析ppt\歌词\乙女日和.txt,positive,0.9932,0.0067,4,2,1
173,NJU Documents\抖音数据分析ppt\歌词\习惯你的好.txt,positive,0.8531,0.1469,107,50,20
174,NJU Documents\抖音数据分析ppt\歌词\亡くなった愛 (Remix).txt,positive,0.9841,0.0159,53,48,26
175,NJU Documents\抖音数据分析ppt\歌词\人生天涯路 (DJ版).txt,positive,0.9697,0.0303,83,54,10
176,NJU Documents\抖音数据分析ppt\歌词\人的这一生.txt,negative,0.1824,0.8176,37,22,8
177,NJU Documents\抖音数据分析ppt\歌词\人间 (片段).txt,positive,0.9932,0.0067,4,2,1
178,NJU Documents\抖音数据分析ppt\歌词\今夜我一个人醉.txt,positive,0.9886,0.0114,39,29,11
179,NJU Documents\抖音数据分析ppt\歌词\今生最爱.txt,negative,0.1475,0.8525,93,22,10
180,"NJU Documents\抖音数据分析ppt\歌词\以前打扰了,以后不会了 (DJ版).txt",negative,0.0281,0.9719,81,20,8
181,NJU Documents\抖音数据分析ppt\歌词\伟大的肩膀.txt,negative,0.042,0.958,157,41,31
182,NJU Documents\抖音数据分析ppt\歌词\体面.txt,negative,0.1584,0.8416,76,25,11
183,NJU Documents\抖音数据分析ppt\歌词\你好坏哦 我好喜欢.txt,positive,0.8287,0.1712,3,2,0
184,NJU Documents\抖音数据分析ppt\歌词\你懂得 (片段).txt,positive,0.9838,0.0162,11,3,4
185,NJU Documents\抖音数据分析ppt\歌词\你是上天给我的礼物 (DJ何鹏版).txt,positive,0.9124,0.0876,80,17,7
186,NJU Documents\抖音数据分析ppt\歌词\你是人间四月天.txt,positive,0.9963,0.0037,52,26,6
187,NJU Documents\抖音数据分析ppt\歌词\你是我唯一的执着 (片段).txt,positive,0.7717,0.2283,73,15,7
188,NJU Documents\抖音数据分析ppt\歌词\你是空你是空.txt,negative,0.129,0.871,30,9,4
189,NJU Documents\抖音数据分析ppt\歌词\你的万水千山 (DJ沈念版).txt,negative,0.0241,0.9759,50,12,19
190,NJU Documents\抖音数据分析ppt\歌词\你的样子 (片段).txt,positive,0.9932,0.0067,4,2,1
191,NJU Documents\抖音数据分析ppt\歌词\你的样子.txt,positive,0.67,0.33,62,52,15
192,NJU Documents\抖音数据分析ppt\歌词\你的答案.txt,positive,0.9053,0.0947,60,40,11
193,NJU Documents\抖音数据分析ppt\歌词\你莫走 (DJ版).txt,positive,0.7778,0.2222,60,45,2
194,NJU Documents\抖音数据分析ppt\歌词\你莫走.txt,positive,0.5930,0.4069,0,3,0
195,NJU Documents\抖音数据分析ppt\歌词\你说.txt,negative,0.1144,0.8856,56,17,15
196,NJU Documents\抖音数据分析ppt\歌词\做个勇敢的⼩朋友.txt,negative,0.3464,0.6536,28,9,5
197,NJU Documents\抖音数据分析ppt\歌词\僕が死のうと思ったのは.txt,negative,0.0588,0.9412,44,19,3
198,NJU Documents\抖音数据分析ppt\歌词\儿时.txt,positive,0.9278,0.0722,48,54,7
199,NJU Documents\抖音数据分析ppt\歌词\兜圈 (片段).txt,positive,0.7848,0.2151,0,1,0
200,NJU Documents\抖音数据分析ppt\歌词\入骨相思谁人懂.txt,positive,0.5731,0.4269,68,36,5
201,NJU Documents\抖音数据分析ppt\歌词\兰亭序.txt,negative,0.252,0.748,60,32,8
202,NJU Documents\抖音数据分析ppt\歌词\关于小熊.txt,positive,0.945,0.055,127,77,20
203,NJU Documents\抖音数据分析ppt\歌词\其实我想说的还有很多.txt,negative,0.3686,0.6314,77,28,13
204,NJU Documents\抖音数据分析ppt\歌词\再度重相逢.txt,positive,0.9893,0.0107,27,12,16
205,NJU Documents\抖音数据分析ppt\歌词\冬眠.txt,negative,0.0599,0.9401,53,21,6
206,NJU Documents\抖音数据分析ppt\歌词\冲动的惩罚.txt,negative,0.0275,0.9725,142,51,20
207,NJU Documents\抖音数据分析ppt\歌词\凉凉.txt,negative,0.4175,0.5825,54,37,11
208,NJU Documents\抖音数据分析ppt\歌词\凤凰展翅 (DJ小黑版).txt,positive,0.99,0.01,71,53,5
209,NJU Documents\抖音数据分析ppt\歌词\凤凰花开的路口.txt,positive,0.9939,0.0061,50,34,6
210,NJU Documents\抖音数据分析ppt\歌词\凤舞九天 (DJ版).txt,negative,0.5,0.5,0,0,0
211,NJU Documents\抖音数据分析ppt\歌词\别知己 (三步踩版).txt,positive,0.7558,0.2442,74,18,2
212,NJU Documents\抖音数据分析ppt\歌词\到底要怎么样.txt,negative,0.0077,0.9923,110,42,23
213,NJU Documents\抖音数据分析ppt\歌词\劳作的春夏秋2.txt,positive,0.9932,0.0067,4,2,1
214,NJU Documents\抖音数据分析ppt\歌词\包容.txt,positive,0.7248,0.2752,91,13,6
215,NJU Documents\抖音数据分析ppt\歌词\匆匆那年.txt,negative,0.0132,0.9868,81,22,17
216,NJU Documents\抖音数据分析ppt\歌词\千与千寻 主题曲《いつも何度でも》.txt,positive,0.599,0.401,48,28,6
217,NJU Documents\抖音数据分析ppt\歌词\单车.txt,positive,0.9575,0.0425,76,21,7
218,NJU Documents\抖音数据分析ppt\歌词\卡农 (浪潮版).txt,positive,0.9932,0.0067,4,2,1
219,NJU Documents\抖音数据分析ppt\歌词\口是心非.txt,positive,0.7161,0.2839,36,29,11
220,NJU Documents\抖音数据分析ppt\歌词\只宠你一人.txt,positive,0.9863,0.0137,57,34,18
221,NJU Documents\抖音数据分析ppt\歌词\只对你说 (片段).txt,positive,1.0,0.0,40,21,3
222,NJU Documents\抖音数据分析ppt\歌词\只要为你活一天.txt,positive,0.9932,0.0067,4,2,1
223,NJU Documents\抖音数据分析ppt\歌词\只要你过得比我好.txt,positive,0.8892,0.1108,61,19,51
224,NJU Documents\抖音数据分析ppt\歌词\只要有你.txt,positive,0.9554,0.0446,73,50,16
225,NJU Documents\抖音数据分析ppt\歌词\可不可以.txt,positive,0.9713,0.0287,81,22,10
226,NJU Documents\抖音数据分析ppt\歌词\可愛くなりたい (想变得可爱).txt,negative,0.0733,0.9267,27,10,10
227,NJU Documents\抖音数据分析ppt\歌词\同样.txt,positive,0.9378,0.0622,116,54,15
228,NJU Documents\抖音数据分析ppt\歌词\后.txt,negative,0.1645,0.8355,49,26,11
229,NJU Documents\抖音数据分析ppt\歌词\后来 (大合唱版).txt,positive,0.9896,0.0103,0,1,0
230,NJU Documents\抖音数据分析ppt\歌词\后来.txt,positive,0.9512,0.0488,70,27,12
231,NJU Documents\抖音数据分析ppt\歌词\君を忘れてた.txt,positive,0.9932,0.0067,4,2,1
232,NJU Documents\抖音数据分析ppt\歌词\听妈妈的话.txt,positive,0.9682,0.0318,140,62,19
233,NJU Documents\抖音数据分析ppt\歌词\呼吸决定 (女声版片段).txt,negative,0.1281,0.8719,32,7,3
234,NJU Documents\抖音数据分析ppt\歌词\呼吸决定.txt,negative,0.1281,0.8719,32,7,3
235,NJU Documents\抖音数据分析ppt\歌词\哒嗯哒嗯+大大大 (DJ版).txt,positive,0.9932,0.0067,4,2,1
236,NJU Documents\抖音数据分析ppt\歌词\哦哈哟欧尼酱.txt,positive,0.9932,0.0067,4,2,1
237,NJU Documents\抖音数据分析ppt\歌词\哭砂 (钢琴版).txt,positive,0.9932,0.0067,4,2,1
238,NJU Documents\抖音数据分析ppt\歌词\哭砂.txt,negative,0.3859,0.6141,84,20,8
239,NJU Documents\抖音数据分析ppt\歌词\喜悦.txt,positive,0.9971,0.0029,23,20,5
240,NJU Documents\抖音数据分析ppt\歌词\喜欢你.txt,positive,0.995,0.005,66,25,4
241,NJU Documents\抖音数据分析ppt\歌词\嗯哒嗯哒 (完整原版).txt,positive,0.9682,0.0317,4,2,0
242,NJU Documents\抖音数据分析ppt\歌词\嚣张 (DJ弹鼓版).txt,positive,0.8287,0.1712,3,2,0
243,NJU Documents\抖音数据分析ppt\歌词\嚣张 (片段).txt,negative,0.0123,0.9877,15,7,2
244,NJU Documents\抖音数据分析ppt\歌词\嚣张.txt,negative,0.0069,0.9931,73,33,15
245,NJU Documents\抖音数据分析ppt\歌词\四块五.txt,negative,0.0438,0.9562,45,30,11
246,NJU Documents\抖音数据分析ppt\歌词\回到夏天 (片段).txt,negative,0.1942,0.8058,57,29,12
247,NJU Documents\抖音数据分析ppt\歌词\回家的路 (完整版).txt,positive,0.9932,0.0067,4,2,1
248,NJU Documents\抖音数据分析ppt\歌词\园游会.txt,positive,0.9948,0.0052,72,55,10
249,NJU Documents\抖音数据分析ppt\歌词\国王与乞丐.txt,negative,0.4355,0.5645,28,9,10
250,NJU Documents\抖音数据分析ppt\歌词\圣诞前夜.txt,positive,0.9932,0.0067,4,2,1
251,NJU Documents\抖音数据分析ppt\歌词\坦坦荡荡活人间.txt,positive,0.9557,0.0443,61,43,22
252,NJU Documents\抖音数据分析ppt\歌词\堆积情感.txt,positive,0.956,0.044,76,28,5
253,NJU Documents\抖音数据分析ppt\歌词\墨尔本的翡翠 (Live片段).txt,positive,0.5047,0.4953,92,43,21
