,filename,mood,positive_rate,negative_rate,verb,noun,adjective
24,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Beatrich - Superstar.txt,positive,0.6999,0.3001,105,32,19
25,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Bebe Rexha - Ferrari.txt,negative,0.0550,0.9449,1,4,0
26,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Bebe Rexha - I Got You.txt,negative,0.5,0.5,0,0,0
27,NJU Documents\抖音数据分析ppt\音乐数据库歌词\BEYOND - 不再犹豫.txt,negative,0.5,0.5,0,0,0
28,NJU Documents\抖音数据分析ppt\音乐数据库歌词\BEYOND - 情人.txt,positive,0.9683,0.0317,45,39,14
29,NJU Documents\抖音数据分析ppt\音乐数据库歌词\BEYOND - 海阔天空.txt,negative,0.1889,0.8111,72,30,5
30,NJU Documents\抖音数据分析ppt\音乐数据库歌词\BEYOND - 狂人山庄.txt,negative,0.5,0.5,0,0,0
31,NJU Documents\抖音数据分析ppt\音乐数据库歌词\BEYOND - 真的爱你.txt,positive,0.9874,0.0126,67,23,3
32,NJU Documents\抖音数据分析ppt\音乐数据库歌词\BIGBANG - GIRLFRIEND.txt,negative,0.0550,0.9449,1,4,0
33,NJU Documents\抖音数据分析ppt\音乐数据库歌词\BIGBANG - IF YOU.txt,negative,0.0550,0.9449,1,4,0
34,NJU Documents\抖音数据分析ppt\音乐数据库歌词\BIGBANG - LOSER.txt,negative,0.0550,0.9449,1,4,0
35,NJU Documents\抖音数据分析ppt\音乐数据库歌词\BigYear - 看好你的女友.txt,positive,0.9489,0.0511,108,27,15
36,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Billie Eilish - idontwannabeyouanymore.txt,negative,0.0550,0.9449,1,4,0
37,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Billie Eilish - wish you were gay.txt,negative,0.0550,0.9449,1,4,0
38,NJU Documents\抖音数据分析ppt\音乐数据库歌词\BLACKPINK - STAY.txt,negative,0.0550,0.9449,1,4,0
39,NJU Documents\抖音数据分析ppt\音乐数据库歌词\BY2 - 爱丫爱丫.txt,negative,0.4258,0.5742,66,34,28
40,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Camila Cabello、Young Thug - Havana.txt,negative,0.3703,0.6297,67,19,10
41,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Charlie Puth - Attention.txt,negative,0.0550,0.9449,1,4,0
42,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Charlie Puth - We Don't Talk Anymore.txt,negative,0.0550,0.9449,1,4,0
43,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Chris Medina - What Are Words.txt,negative,0.0550,0.9449,1,4,0
44,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Colbie Caillat - Try.txt,negative,0.0550,0.9449,1,4,0
45,NJU Documents\抖音数据分析ppt\音乐数据库歌词\DAISHI DANCE ダイシ・ダンス _ Cécile Corbel - Take Me Hand.txt,negative,0.0550,0.9449,1,4,0
46,NJU Documents\抖音数据分析ppt\音乐数据库歌词\DiESi - 穿越时空的思念 Remix.txt,negative,0.0550,0.9449,1,4,0
47,NJU Documents\抖音数据分析ppt\音乐数据库歌词\dirt party - 337am.txt,negative,0.0550,0.9449,1,4,0
48,NJU Documents\抖音数据分析ppt\音乐数据库歌词\DJ OKAWARI - Luv Letter.txt,negative,0.0550,0.9449,1,4,0
49,NJU Documents\抖音数据分析ppt\音乐数据库歌词\DJ Snake _ Justin Bieber - Let Me Love You.txt,negative,0.0550,0.9449,1,4,0
50,NJU Documents\抖音数据分析ppt\音乐数据库歌词\DJ小鱼儿 - 一生回味一面.txt,positive,0.5157,0.4842,0,0,0
51,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Ellie Goulding - Love Me Like You Do.txt,negative,0.0550,0.9449,1,4,0
52,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Else - Paris.txt,negative,0.0550,0.9449,1,4,0
53,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Embody _ Camden Cox - Dreamin'.txt,negative,0.0550,0.9449,1,4,0
54,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Eminem _ Rihanna - Love The Way You Lie.txt,negative,0.0550,0.9449,1,4,0
55,NJU Documents\抖音数据分析ppt\音乐数据库歌词\en - 嚣张.txt,negative,0.0550,0.9449,1,4,0
56,NJU Documents\抖音数据分析ppt\音乐数据库歌词\en - 暗示分离.txt,negative,0.0550,0.9449,1,4,0
57,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Feint - My Sunset Original Mix.txt,negative,0.0550,0.9449,1,4,0
58,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Fitz & The Tantrums - HandClap.txt,positive,0.7007,0.2992,0,0,0
59,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Freedom Plant Music - Colorful World.txt,negative,0.5,0.5,0,0,0
60,NJU Documents\抖音数据分析ppt\音乐数据库歌词\G.E.M. 邓紫棋 - 光年之外.txt,negative,0.0550,0.9449,1,4,0
61,NJU Documents\抖音数据分析ppt\音乐数据库歌词\G.E.M. 邓紫棋 - 泡沫.txt,negative,0.0550,0.9449,1,4,0
62,NJU Documents\抖音数据分析ppt\音乐数据库歌词\G.E.M.邓紫棋 - 我的秘密.txt,positive,0.913,0.087,95,48,27
63,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Gamper & Dadoni _ Ember Island - Creep.txt,negative,0.0550,0.9449,1,4,0
64,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Gibb-Z - My hot girl.txt,positive,0.9811,0.0189,74,34,24
65,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Gibb-Z、ICE - 陪着你走.txt,positive,1.0,0.0,155,80,14
66,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Groove Coverage - She Radio Edit.txt,positive,0.9933,0.0067,113,30,18
67,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Hans Zimmer - Cornfield Chase.txt,negative,0.0550,0.9449,1,4,0
68,NJU Documents\抖音数据分析ppt\音乐数据库歌词\HITA - 赤伶.txt,negative,0.0550,0.9449,1,4,0
69,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Ice Paper - 心如止水.txt,positive,0.6686,0.3313,1,2,0
70,NJU Documents\抖音数据分析ppt\音乐数据库歌词\iKON - LOVE SCENARIO.txt,negative,0.0550,0.9449,1,4,0
71,NJU Documents\抖音数据分析ppt\音乐数据库歌词\I·D·C - 想对你说情话.txt,negative,0.2704,0.7296,106,37,15
72,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Jain - Lil Mama.txt,negative,0.4693,0.5307,143,53,17
73,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Jelani Aryeh - Daunt.txt,negative,0.0550,0.9449,1,4,0
74,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Jeremy Zucker - comethru.txt,negative,0.0550,0.9449,1,4,0
75,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Joel Adams - Please Don't Go.txt,negative,0.0550,0.9449,1,4,0
76,NJU Documents\抖音数据分析ppt\音乐数据库歌词\joysaaaa - 两点半.txt,positive,0.7106,0.2893,0,1,1
77,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Kaash Paige - LOVE SONGS.txt,negative,0.0550,0.9449,1,4,0
78,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Katie Sky - Monsters.txt,negative,0.0550,0.9449,1,4,0
79,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Kid Travis _ Rich Brian - History.txt,negative,0.0550,0.9449,1,4,0
80,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Kim Taylor - I Am You.txt,negative,0.0550,0.9449,1,4,0
81,NJU Documents\抖音数据分析ppt\音乐数据库歌词\LEE HI - NO ONE.txt,negative,0.0550,0.9449,1,4,0
82,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Leessang 리쌍 _ Ali 알리 - 내가 웃는게 아니야 我不是在笑.txt,negative,0.2316,0.7684,39,24,6
83,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Lil Ghost小鬼 - GOOD NIGHT.txt,negative,0.2626,0.7373,1,0,0
84,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Lil Wayne - Sucker For Pain.txt,negative,0.0550,0.9449,1,4,0
85,NJU Documents\抖音数据分析ppt\音乐数据库歌词\LINKIN PARK - In The End RemixDJ暖豪版.txt,negative,0.0550,0.9449,1,4,0
86,NJU Documents\抖音数据分析ppt\音乐数据库歌词\LIU - That Girl LIU Remix.txt,negative,0.0550,0.9449,1,4,0
87,NJU Documents\抖音数据分析ppt\音乐数据库歌词\M83 - Midnight City.txt,negative,0.0550,0.9449,1,4,0
88,NJU Documents\抖音数据分析ppt\音乐数据库歌词\MADILYN - Galway Girl.txt,negative,0.0550,0.9449,1,4,0
89,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Maggie Lindemann - Pretty Girl.txt,negative,0.0550,0.9449,1,4,0
90,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Mark Ronson _ Bruno Mars - Uptown Funk.txt,positive,0.9614,0.0385,0,0,0
91,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Martin Garrix _ David Guetta _ Jamie Scott _ Romy - So Far Away.txt,negative,0.0550,0.9449,1,4,0
92,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Martin Garrix _ Troye Sivan - There For You.txt,negative,0.0550,0.9449,1,4,0
93,NJU Documents\抖音数据分析ppt\音乐数据库歌词\MayPiano - Illusionary Daytime 钢琴版.txt,negative,0.0550,0.9449,1,4,0
94,NJU Documents\抖音数据分析ppt\音乐数据库歌词\MC七星 - 佛说.txt,negative,0.0550,0.9449,1,4,0
95,NJU Documents\抖音数据分析ppt\音乐数据库歌词\MC몽 - 죽을 만큼 아파서.txt,negative,0.0550,0.9449,1,4,0
96,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Mister-Mardan - Jocelyn Flores.txt,negative,0.0550,0.9449,1,4,0
97,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Nana - Lonely.txt,negative,0.0550,0.9449,1,4,0
98,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Nohidea - Butterflies.txt,negative,0.0550,0.9449,1,4,0
99,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Olly Murs - That Girl.txt,negative,0.0550,0.9449,1,4,0
100,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Owl City - The Saltwater Room.txt,negative,0.0550,0.9449,1,4,0
101,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Peter Roe - Last Reunion.txt,negative,0.0550,0.9449,1,4,0
102,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Post Malone - Circles.txt,negative,0.0550,0.9449,1,4,0
103,NJU Documents\抖音数据分析ppt\音乐数据库歌词\RADWIMPS - なんでもないや.txt,negative,0.0550,0.9449,1,4,0
104,NJU Documents\抖音数据分析ppt\音乐数据库歌词\RADWIMPS - スパークル.txt,negative,0.0550,0.9449,1,4,0
105,NJU Documents\抖音数据分析ppt\音乐数据库歌词\RADWIMPS - 夢灯籠.txt,negative,0.4894,0.5105,0,1,0
106,NJU Documents\抖音数据分析ppt\音乐数据库歌词\RADWIMPS ラッドウィンプス - カイコ 蚕.txt,negative,0.0550,0.9449,1,4,0
107,NJU Documents\抖音数据分析ppt\音乐数据库歌词\RAiNBOW计划 _ 雷雨心 - 记念.txt,negative,0.0550,0.9449,1,4,0
108,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Rihanna - Diamonds.txt,negative,0.0550,0.9449,1,4,0
109,NJU Documents\抖音数据分析ppt\音乐数据库歌词\S.H.E - 你曾是少年.txt,negative,0.0550,0.9449,1,4,0
110,NJU Documents\抖音数据分析ppt\音乐数据库歌词\S.H.E - 恋人未满.txt,negative,0.1537,0.8463,11,9,1
111,NJU Documents\抖音数据分析ppt\音乐数据库歌词\SeVen.13 - Limitless（无限）.txt,negative,0.0550,0.9449,1,4,0
112,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Skylar Grey _ Diddy-Dirty Money - Coming Home.txt,negative,0.0550,0.9449,1,4,0
113,NJU Documents\抖音数据分析ppt\音乐数据库歌词\SNØW - Sunset_Sunrise Prod.Kendo.txt,negative,0.0550,0.9449,1,4,0
114,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Sub Urban - Cradles.txt,negative,0.0550,0.9449,1,4,0
115,NJU Documents\抖音数据分析ppt\音乐数据库歌词\t.A.T.u. - Loves Me Not.txt,negative,0.0550,0.9449,1,4,0
116,NJU Documents\抖音数据分析ppt\音乐数据库歌词\The Chainsmokers _ Phoebe Ryan - All We Know.txt,negative,0.0550,0.9449,1,4,0
117,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Timbaland _ OneRepublic - Apologize.txt,negative,0.0550,0.9449,1,4,0
118,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Troye Sivan - Strawberries & Cigarettes.txt,negative,0.0550,0.9449,1,4,0
119,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Troye Sivan _ Allday - For him..txt,negative,0.0550,0.9449,1,4,0
120,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Tsuki _ Shiloh Dynasty - Who_feat. Shiloh Dynasty.txt,negative,0.0550,0.9449,1,4,0
121,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Twinbed - Trouble I'm In.txt,negative,0.0550,0.9449,1,4,0
122,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Twinbed - Trouble I'm In~1.txt,negative,0.0550,0.9449,1,4,0
123,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Uu - 那女孩对我说.txt,negative,0.0550,0.9449,1,4,0
124,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Uu - 那男孩还好吗.txt,negative,0.0550,0.9449,1,4,0
125,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Various Artists - How You Make Me Feel.txt,negative,0.0550,0.9449,1,4,0
126,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Vicetone _ Cozi Zuehlsdorff - Way Back feat. Cozi Zuehlsdorff.txt,negative,0.0550,0.9449,1,4,0
127,NJU Documents\抖音数据分析ppt\音乐数据库歌词\White Cherry - MELANCHOLY.txt,negative,0.0550,0.9449,1,4,0
128,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Wiz Khalifa - See You Again.txt,negative,0.0550,0.9449,1,4,0
129,NJU Documents\抖音数据分析ppt\音乐数据库歌词\XXXTentacion - NUMB.txt,negative,0.0550,0.9449,1,4,0
130,NJU Documents\抖音数据分析ppt\音乐数据库歌词\XXXTentacion - SAD! Explicit.txt,negative,0.0550,0.9449,1,4,0
131,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Ykey、Pro-Z - 到我怀里.txt,negative,0.0179,0.9821,98,25,32
132,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Young 7 - 幸运女孩.txt,positive,0.7224,0.2776,128,39,19
133,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Бамбинтон - Зая.txt,positive,0.9915,0.0085,68,38,10
134,NJU Documents\抖音数据分析ppt\音乐数据库歌词\ラムジ - PLANET.txt,negative,0.0550,0.9449,1,4,0
135,NJU Documents\抖音数据分析ppt\音乐数据库歌词\一口甜、二辰 - 靠近.txt,positive,0.7788,0.2212,72,36,12
136,NJU Documents\抖音数据分析ppt\音乐数据库歌词\丁丁 - 爱要坦荡荡 Live.txt,positive,0.9871,0.0129,76,17,18
137,NJU Documents\抖音数据分析ppt\音乐数据库歌词\丁可 - If.txt,negative,0.0550,0.9449,1,4,0
138,NJU Documents\抖音数据分析ppt\音乐数据库歌词\丁芙妮 - 只是太爱你.txt,negative,0.2609,0.7391,59,18,21
139,NJU Documents\抖音数据分析ppt\音乐数据库歌词\东子陌 - 爱不得忘不舍 DJ版.txt,negative,0.0550,0.9449,1,4,0
140,NJU Documents\抖音数据分析ppt\音乐数据库歌词\东子陌 - 送给未来的你.txt,negative,0.0550,0.9449,1,4,0
141,NJU Documents\抖音数据分析ppt\音乐数据库歌词\于文文 - 体面 咚鼓版DJ唐总、DJ陈安排版.txt,negative,0.0550,0.9449,1,4,0
142,NJU Documents\抖音数据分析ppt\音乐数据库歌词\于文文 - 体面.txt,negative,0.0550,0.9449,1,4,0
143,NJU Documents\抖音数据分析ppt\音乐数据库歌词\于果 - 侧脸.txt,negative,0.0550,0.9449,1,4,0
144,NJU Documents\抖音数据分析ppt\音乐数据库歌词\五月天 - 后来的我们.txt,negative,0.0550,0.9449,1,4,0
145,NJU Documents\抖音数据分析ppt\音乐数据库歌词\五月天 - 突然好想你.txt,negative,0.0550,0.9449,1,4,0
146,NJU Documents\抖音数据分析ppt\音乐数据库歌词\井胧 - 把孤独当做晚餐.txt,negative,0.0550,0.9449,1,4,0
147,NJU Documents\抖音数据分析ppt\音乐数据库歌词\任然 - 无人之岛.txt,positive,0.7156,0.2844,93,11,9
148,NJU Documents\抖音数据分析ppt\音乐数据库歌词\任然 - 飞鸟和蝉.txt,negative,0.0550,0.9449,1,4,0
149,NJU Documents\抖音数据分析ppt\音乐数据库歌词\伍佰 & China Blue - Last Dance.txt,positive,0.9481,0.0519,94,62,13
150,NJU Documents\抖音数据分析ppt\音乐数据库歌词\伍佰 - 挪威的森林.txt,positive,1.0,0.0,57,15,10
151,NJU Documents\抖音数据分析ppt\音乐数据库歌词\余佳运 - 我想.txt,positive,0.9877,0.0123,102,41,11
152,NJU Documents\抖音数据分析ppt\音乐数据库歌词\八三夭 - 想见你想见你想见你.txt,positive,0.8876,0.1123,1,3,0
153,NJU Documents\抖音数据分析ppt\音乐数据库歌词\凤凰传奇 - 奢香夫人.txt,positive,0.9937,0.0063,63,16,13
154,NJU Documents\抖音数据分析ppt\音乐数据库歌词\刘佳 - 爱的就是你.txt,positive,0.7912,0.2088,74,35,8
155,NJU Documents\抖音数据分析ppt\音乐数据库歌词\刘佳、十二星宿 风之少年 - 爱的就是你.txt,positive,0.9784,0.0216,103,57,20
156,NJU Documents\抖音数据分析ppt\音乐数据库歌词\刘大壮 - 一吻天荒 吉他版.txt,negative,0.0550,0.9449,1,4,0
157,NJU Documents\抖音数据分析ppt\音乐数据库歌词\刘大壮 - 给我一首歌的时间 片段.txt,negative,0.0550,0.9449,1,4,0
158,NJU Documents\抖音数据分析ppt\音乐数据库歌词\刘德华 - 17岁.txt,positive,0.9784,0.0216,103,57,20
159,NJU Documents\抖音数据分析ppt\音乐数据库歌词\刘惜君 - 芬芳一生.txt,positive,1.0,0.0,53,41,6
160,NJU Documents\抖音数据分析ppt\音乐数据库歌词\刘若英 - 后来.txt,negative,0.0550,0.9449,1,4,0
161,NJU Documents\抖音数据分析ppt\音乐数据库歌词\前男友 - 童话里有什么.txt,positive,0.9878,0.0122,34,44,10
162,NJU Documents\抖音数据分析ppt\音乐数据库歌词\北宸 - 无你.txt,positive,0.8876,0.1123,1,3,0
163,NJU Documents\抖音数据分析ppt\音乐数据库歌词\匠音夫妇 - 一点点喜欢.txt,positive,0.8876,0.1123,1,3,0
164,NJU Documents\抖音数据分析ppt\音乐数据库歌词\半吨兄弟 - 一生回味一面.txt,positive,0.9841,0.0159,125,72,31
165,NJU Documents\抖音数据分析ppt\音乐数据库歌词\半吨兄弟 - 我好喜欢你.txt,positive,0.9853,0.0147,82,30,3
166,NJU Documents\抖音数据分析ppt\音乐数据库歌词\半吨兄弟 - 我这一生.txt,positive,0.9592,0.0408,65,28,31
167,NJU Documents\抖音数据分析ppt\音乐数据库歌词\半阳 - 一曲相思.txt,negative,0.0550,0.9449,1,4,0
168,NJU Documents\抖音数据分析ppt\音乐数据库歌词\华晨宇、郎朗 - 好想爱这个世界啊 Live.txt,positive,0.8876,0.1123,1,3,0
169,NJU Documents\抖音数据分析ppt\音乐数据库歌词\单夕、阳逸晨 - 小可爱.txt,positive,0.9839,0.0161,73,24,8
170,NJU Documents\抖音数据分析ppt\音乐数据库歌词\单色凌 - 我想我不够好.txt,negative,0.0443,0.9557,82,14,33
171,NJU Documents\抖音数据分析ppt\音乐数据库歌词\卢冠廷 _ 莫文蔚 - 一生所爱.txt,negative,0.0550,0.9449,1,4,0
172,NJU Documents\抖音数据分析ppt\音乐数据库歌词\叫宝宝 - 愿.txt,positive,0.8876,0.1123,1,3,0
173,NJU Documents\抖音数据分析ppt\音乐数据库歌词\史蒂文·黄 - I Hate Falling In Love.txt,negative,0.0550,0.9449,1,4,0
174,NJU Documents\抖音数据分析ppt\音乐数据库歌词\叶倩文 - 选择.txt,negative,0.0013,0.9987,62,14,32
175,NJU Documents\抖音数据分析ppt\音乐数据库歌词\叶蓓 - 想把我唱给你听.txt,positive,0.7303,0.2697,71,13,0
176,NJU Documents\抖音数据分析ppt\音乐数据库歌词\司南 - 冬眠.txt,negative,0.0550,0.9449,1,4,0
177,NJU Documents\抖音数据分析ppt\音乐数据库歌词\司南 - 烟雨行舟.txt,negative,0.0550,0.9449,1,4,0
178,NJU Documents\抖音数据分析ppt\音乐数据库歌词\名决 - 时间的过客 抖音烟嗓版.txt,positive,0.9864,0.0136,57,31,35
179,NJU Documents\抖音数据分析ppt\音乐数据库歌词\名决 - 时间的过客.txt,negative,0.0550,0.9449,1,4,0
180,NJU Documents\抖音数据分析ppt\音乐数据库歌词\后弦 - 娃娃脸.txt,negative,0.0339,0.9661,66,24,14
181,NJU Documents\抖音数据分析ppt\音乐数据库歌词\向银莹 - 左肩.txt,positive,0.8876,0.1123,1,3,0
182,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周传雄 - 冬天的秘密.txt,negative,0.0550,0.9449,1,4,0
183,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周传雄 - 寂寞沙洲冷.txt,negative,0.0550,0.9449,1,4,0
184,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周传雄 - 樱吹雪.txt,negative,0.0550,0.9449,1,4,0
185,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周传雄 - 黄昏.txt,negative,0.0550,0.9449,1,4,0
186,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周杰伦 - 不能说的秘密.txt,positive,0.9602,0.0398,47,66,8
187,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周杰伦 - 告白气球.txt,positive,0.9364,0.0636,68,26,13
188,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周杰伦 - 夜曲.txt,positive,0.921,0.079,56,27,15
189,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周杰伦 - 晴天.txt,positive,0.5779,0.4221,82,58,21
190,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周杰伦 - 烟花易冷.txt,negative,0.0550,0.9449,1,4,0
191,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周杰伦 - 甜甜的.txt,negative,0.4869,0.5131,84,33,16
192,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周杰伦 - 简单爱.txt,positive,0.9912,0.0088,78,25,22
193,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周杰伦 - 给我一首歌的时间.txt,positive,0.995,0.005,117,36,8
194,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周杰伦 - 说好不哭（with 五月天阿信）.txt,negative,0.0550,0.9449,1,4,0
195,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周杰伦、杨瑞代 - 爱的飞行日记.txt,negative,0.0255,0.9745,129,51,6
196,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周杰伦、袁咏琳 - 傻笑.txt,positive,0.9586,0.0414,68,52,16
197,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周杰伦、袁咏琳 - 怎么了.txt,positive,0.8331,0.1669,105,35,11
198,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周深 - 大鱼.txt,negative,0.0550,0.9449,1,4,0
199,NJU Documents\抖音数据分析ppt\音乐数据库歌词\周笔畅 - 最美的期待.txt,negative,0.1239,0.8761,124,48,26
200,NJU Documents\抖音数据分析ppt\音乐数据库歌词\哈利Halleeee - 星星失眠.txt,positive,0.8876,0.1123,1,3,0
201,NJU Documents\抖音数据分析ppt\音乐数据库歌词\喵子Luka - 未闻花名.txt,positive,0.8876,0.1123,1,3,0
202,NJU Documents\抖音数据分析ppt\音乐数据库歌词\喻言家 - 告白之夜 中文填词版.txt,negative,0.0550,0.9449,1,4,0
