博主名,粉丝数,点赞,评论,分享,商品标题,商品销量,商品价格,音乐链接
杜大宝,28.9w,18600,1283,2096,【陈彦妃同款】韩熙贞毒液丝绒雾面哑光唇釉口红女学生款小众品牌,82703,59.9,蓝心羽《欧若拉 (Live)》https://c.y.qq.com/base/fcgi-bin/u?__=wPygEwW @QQ音乐
韩熙贞旗舰店,3.3w,77000,2097,1297,【陈彦妃同款】韩熙贞毒液丝绒雾面哑光唇釉口红女学生款小众品牌,82703,59.9,Jeremy Zucker《comethru》https://c.y.qq.com/base/fcgi-bin/u?__=kqDgEwJ @QQ音乐
豆豆_Babe,971.7w,1187000,56032,41440,完美日记天鹅绒丝绒唇釉女V08雾面哑光口红唇彩持久平价学生V01,309083,59.9,Elsa Kopf《Candy street》https://c.y.qq.com/base/fcgi-bin/u?__=FNz7WwW @QQ音乐
毛逛逛,1212.4w,638000,14000,1414,完美日记天鹅绒丝绒唇釉女V08雾面哑光口红唇彩持久平价学生V02,309083,59.9,Classical Artists《匈牙利舞曲 (Brahms Hungarian Dance No.5)》https://c.y.qq.com/base/fcgi-bin/u?__=G92jEwI @QQ音乐
黄好厉害,351.7w,419000,14000,6473,完美日记天鹅绒丝绒唇釉女V08雾面哑光口红唇彩持久平价学生V03,309083,59.9,ko-ko-ya (コーコーヤ)《特別な一日 (特别的一天)》https://c.y.qq.com/base/fcgi-bin/u?__=8nzewwV @QQ音乐
大西米君,124.4w,362000,29000,13000,完美日记天鹅绒丝绒唇釉女V08雾面哑光口红唇彩持久平价学生V04,309083,59.9,Ingrid Michaelson/AJR《Celebrate》https://c.y.qq.com/base/fcgi-bin/u?__=iZKTEwO @QQ音乐
完美日记,321.2w,98000,2714,1602,完美日记天鹅绒丝绒唇釉女V08雾面哑光口红唇彩持久平价学生V05,309083,59.9,虞姬《黑人抬棺 (BGM完整版)》https://c.y.qq.com/base/fcgi-bin/u?__=oIItEwX @QQ音乐
李佳琦Austin,4368.5w,68000,3637,2806,完美日记天鹅绒丝绒唇釉女V08雾面哑光口红唇彩持久平价学生V06,309083,59.9,百石元 (hyakkoku hajime)《猪突猛進 (勇往直前)》https://c.y.qq.com/base/fcgi-bin/u?__=ZimFEwx @QQ音乐
豆豆_Babe,969.9w,874682,35975,18807,小奥汀芝心腮红 猫和老鼠联名奶酪腮红盘正品裸妆自然橘色粉色9g,92345,99,Sophie Rose《Pink Lipstick》https://c.y.qq.com/base/fcgi-bin/u?__=QBiaWwU @QQ音乐
温仙女,609.3w,849000,37000,10000,小奥汀芝心腮红 猫和老鼠联名奶酪腮红盘正品裸妆自然橘色粉色10g,92345,99,傅如乔《微微》https://c.y.qq.com/base/fcgi-bin/u?__=gIkFEwE @QQ音乐
杜大宝,28.9w,245000,5886,4939,小奥汀芝心腮红 猫和老鼠联名奶酪腮红盘正品裸妆自然橘色粉色11g,92345,99,阿YueYue《Blueming（Cover: IU）》https://c.y.qq.com/base/fcgi-bin/u?__=rJuKEwO @QQ音乐
浪里小草莓,55.1w,24000,441,466,小奥汀芝心腮红 猫和老鼠联名奶酪腮红盘正品裸妆自然橘色粉色12g,92345,99,Foxtail-Grass Studio《氷だらけのアイスコーヒー (全是冰的冰咖啡)》https://c.y.qq.com/base/fcgi-bin/u?__=K0E2Wwk @QQ音乐
美丽开箱,125.2w,12000,150,150,小奥汀芝心腮红 猫和老鼠联名奶酪腮红盘正品裸妆自然橘色粉色13g,92345,99,Thomston《All In Vain (Thomston Remix)》https://c.y.qq.com/base/fcgi-bin/u?__=9uy6Ewd @QQ音乐
小嘟娜donna,68.9w,58464,1391,2625,小奥汀芝心腮红 猫和老鼠联名奶酪腮红盘正品裸妆自然橘色粉色14g,92345,99,IU《BBIBBI》http://music.163.com/song/1316563427/?userid=1508029736?(来自@网易云音乐)
小嘟娜donna,68.9w,2463,112,351,花西子极细三角眉笔/持久防水防汗初学者不容易脱色晕染超细网红,296065,69,新乐尘符《每一句都很甜》https://c.y.qq.com/base/fcgi-bin/u?__=wu7VWwc @QQ音乐
李佳琦Austin,4368.5w,2507000,41000,31000,花西子极细三角眉笔/持久防水防汗初学者不容易脱色晕染超细网红,296065,69,百石元 (hyakkoku hajime)《猪突猛進 (勇往直前)》https://c.y.qq.com/base/fcgi-bin/u?__=ZimFEwx @QQ音乐
西野原子,38.7w,1173000,25000,62000,花西子极细三角眉笔/持久防水防汗初学者不容易脱色晕染超细网红,296065,69,分享Little Mix/Charlie Puth的单曲《Oops》: http://music.163.com/song/441491080/?userid=1508029736 (来自@网易云音乐)
陈彦妃,778.8w,1723000,24000,5016,花西子极细三角眉笔/持久防水防汗初学者不容易脱色晕染超细网红,296065,69,提督小何《untitled》https://c.y.qq.com/base/fcgi-bin/u?__=EHBoEw4 @QQ音乐
黑心少奶奶,117.6w,4927,581,95,花西子极细三角眉笔/持久防水防汗初学者不容易脱色晕染超细网红,296065,69,Brett《Parallel》https://c.y.qq.com/base/fcgi-bin/u?__=ChOvEw8 @QQ音乐
楚楚就酱,59.1w,8266,166,59,花西子极细三角眉笔/持久防水防汗初学者不容易脱色晕染超细网红,296065,69,高娜英 (고나영)《Stars》https://c.y.qq.com/base/fcgi-bin/u?__=rrsvEwG @QQ音乐
麻里大人,81.3w,5344,54,21,花西子极细三角眉笔/持久防水防汗初学者不容易脱色晕染超细网红,296065,69,Reagan James《Where Did You Go》https://c.y.qq.com/base/fcgi-bin/u?__=5H8vEwD @QQ音乐
