,bgm,bpm,genre,language,public_time,emotion,mood,match,like_time,unlike_time
82,82,112,,,new,happy,negative,1,0,0
83,83,99,pop,日语,old,sad,positive,1,0,0
84,84,98,,日语,old,mad,positive,1,0,0
85,85,131,pop,,new,happy,negative,1,0,0
86,86,117,,日语,old,peaceful,negative,1,0,0
87,87,125,pop,,new,sad,negative,1,0,0
88,88,98,soundtrack,其他,,peaceful,negative,1,0,0
89,89,94,soundtrack,其他,,peaceful,negative,1,0,0
90,90,126,soundtrack,其他,new,mad,negative,1,0,0
91,91,110,soundtrack,国语,old,mad,negative,1,0,0
92,92,139,R&B,其他,,sad,positive,1,0,0
93,93,67,,,new,mad,negative,1,0,0
94,94,123,soundtrack,日语,new,mad,negative,1,0,0
95,95,102,pop,,old,happy,negative,1,0,0
96,96,135,jazz,其他,old,mad,positive,1,0,0
97,97,75,pop,英语,old,happy,positive,1,0,0
98,98,100,R&B,其他,old,mad,negative,1,0,0
99,99,124,jazz,英语,old,peaceful,negative,1,0,0
100,100,127,pop,日语,,sad,positive,1,0,0
101,101,98,pop,,,sad,negative,1,0,0
102,102,93,soundtrack,,old,sad,positive,1,0,0
103,103,120,jazz,韩语,new,happy,negative,1,0,0
104,104,96,soundtrack,日语,old,peaceful,negative,1,0,0
105,105,149,,韩语,new,mad,negative,1,0,0
106,106,132,R&B,国语,,sad,negative,1,0,0
107,107,118,dance,韩语,new,mad,negative,1,0,0
108,108,121,R&B,日语,new,peaceful,negative,1,0,0
109,109,125,jazz,国语,old,mad,positive,1,0,0
110,110,132,soundtrack,,old,peaceful,positive,1,0,0
111,111,99,soundtrack,,new,mad,positive,1,0,0
112,112,138,,韩语,old,peaceful,positive,1,0,0
113,113,111,soundtrack,,,peaceful,negative,1,0,0
114,114,60,pop,韩语,new,happy,positive,1,0,0
115,115,78,soundtrack,国语,new,peaceful,negative,1,0,0
116,116,117,R&B,韩语,old,happy,negative,1,0,0
117,117,75,dance,英语,,happy,negative,1,0,0
118,118,86,soundtrack,英语,,mad,positive,1,0,0
119,119,137,R&B,英语,new,mad,positive,1,0,0
120,120,90,R&B,韩语,new,happy,negative,1,0,0
121,121,85,dance,日语,new,sad,negative,1,0,0
122,122,101,soundtrack,韩语,,peaceful,negative,1,0,0
123,123,138,jazz,韩语,new,sad,positive,1,0,0
124,124,129,pop,韩语,old,sad,negative,1,0,0
125,125,88,pop,,new,mad,negative,1,0,0
126,126,129,jazz,日语,,peaceful,negative,1,0,0
127,127,136,,,,happy,positive,1,0,0
128,128,134,jazz,其他,new,happy,positive,1,0,0
129,129,101,,英语,new,sad,negative,1,0,0
130,130,133,jazz,日语,new,happy,positive,1,0,0
131,131,81,dance,英语,new,peaceful,positive,1,0,0
132,132,99,R&B,英语,,peaceful,positive,1,0,0
133,133,141,R&B,日语,,peaceful,negative,1,0,0
134,134,116,R&B,日语,,sad,positive,1,0,0
135,135,148,pop,其他,,peaceful,negative,1,0,0
136,136,128,R&B,,,peaceful,positive,1,0,0
137,137,113,R&B,韩语,,mad,positive,1,0,0
138,138,92,dance,其他,old,peaceful,negative,1,0,0
139,139,146,,韩语,,happy,positive,1,0,0
140,140,104,soundtrack,韩语,old,sad,positive,1,0,0
141,141,80,,日语,,happy,negative,1,0,0
142,142,63,dance,国语,old,peaceful,positive,1,0,0
143,143,96,dance,,new,peaceful,negative,1,0,0
144,144,78,pop,其他,,sad,negative,1,0,0
145,145,89,pop,,old,peaceful,positive,1,0,0
146,146,79,pop,国语,old,mad,negative,1,0,0
147,147,64,R&B,英语,new,sad,positive,1,0,0
148,148,139,pop,日语,old,mad,positive,1,0,0
149,149,65,dance,英语,new,mad,positive,1,0,0
150,150,143,soundtrack,其他,old,mad,positive,1,0,0
151,151,107,,韩语,,peaceful,negative,1,0,0
152,152,130,jazz,日语,old,mad,positive,1,0,0
153,153,99,pop,其他,new,sad,negative,1,0,0
154,154,88,,日语,new,sad,positive,1,0,0
155,155,104,dance,国语,old,peaceful,negative,1,0,0
156,156,89,R&B,其他,new,happy,positive,1,0,0
157,157,75,jazz,英语,new,mad,positive,1,0,0
158,158,134,dance,其他,old,peaceful,negative,1,0,0
159,159,132,R&B,日语,old,mad,positive,1,0,0
160,160,144,,国语,new,mad,negative,1,0,0
161,161,91,jazz,其他,new,mad,negative,1,0,0
162,162,130,soundtrack,,old,peaceful,negative,1,0,0
163,163,136,jazz,日语,old,peaceful,negative,1,0,0
164,164,65,,英语,,peaceful,positive,1,0,0
165,165,73,dance,韩语,,happy,negative,1,0,0
166,166,99,soundtrack,英语,new,sad,negative,1,0,0
167,167,72,soundtrack,其他,old,sad,negative,1,0,0
168,168,121,R&B,国语,,happy,negative,1,0,0
169,169,137,,其他,,sad,negative,1,0,0
170,170,63,jazz,韩语,old,happy,positive,1,0,0
171,171,63,pop,日语,old,peaceful,negative,1,0,0
172,172,62,pop,韩语,old,mad,positive,1,0,0
173,173,107,pop,其他,,mad,positive,1,0,0
174,174,103,dance,英语,new,happy,negative,1,0,0
175,175,96,jazz,其他,,sad,negative,1,0,0
176,176,61,R&B,日语,new,sad,negative,1,0,0
177,177,105,pop,韩语,,mad,positive,1,0,0
178,178,126,soundtrack,英语,new,mad,positive,1,0,0
179,179,142,R&B,英语,,happy,negative,1,0,0
180,180,70,soundtrack,,old,peaceful,negative,1,0,0
181,181,99,,,old,mad,positive,1,0,0
182,182,86,pop,其他,old,happy,negative,1,0,0
183,183,143,soundtrack,,old,mad,positive,1,0,0
184,184,92,,,new,peaceful,positive,1,0,0
185,185,149,jazz,日语,new,happy,negative,1,0,0
186,186,102,pop,国语,old,sad,negative,1,0,0
187,187,78,,英语,new,peaceful,negative,1,0,0
188,188,94,pop,日语,,happy,positive,1,0,0
189,189,144,R&B,其他,old,sad,positive,1,0,0
190,190,104,jazz,其他,old,peaceful,positive,1,0,0
191,191,123,pop,其他,,mad,positive,1,0,0
192,192,140,soundtrack,英语,,peaceful,positive,1,0,0
193,193,142,pop,,new,sad,negative,1,0,0
194,194,61,dance,,,mad,positive,1,0,0
195,195,134,jazz,韩语,old,happy,positive,1,0,0
196,196,138,soundtrack,英语,,sad,positive,1,0,0
197,197,143,jazz,日语,old,sad,positive,1,0,0
198,198,134,,韩语,,peaceful,negative,1,0,0
199,199,69,,国语,old,mad,negative,1,0,0
200,200,90,R&B,日语,old,happy,negative,1,0,0
201,201,88,pop,,,happy,positive,1,0,0
202,202,75,R&B,国语,old,happy,positive,1,0,0
203,203,123,,国语,new,mad,negative,1,0,0
204,204,60,jazz,其他,old,sad,negative,1,0,0
205,205,63,dance,其他,old,sad,negative,1,0,0
206,206,78,dance,其他,old,mad,negative,1,0,0
207,207,138,dance,其他,old,sad,positive,1,0,0
208,208,139,R&B,其他,,mad,positive,1,0,0
209,209,103,dance,日语,,peaceful,positive,1,0,0
210,210,74,dance,英语,new,peaceful,negative,1,0,0
211,211,119,R&B,其他,,sad,negative,1,0,0
212,212,100,R&B,韩语,,sad,positive,1,0,0
213,213,91,soundtrack,英语,old,sad,negative,1,0,0
214,214,79,pop,日语,old,mad,positive,1,0,0
215,215,145,pop,国语,new,mad,negative,1,0,0
216,216,62,R&B,,,happy,positive,1,0,0
217,217,67,R&B,日语,new,happy,positive,1,0,0
218,218,98,dance,英语,new,sad,positive,1,0,0
219,219,130,R&B,英语,,mad,negative,1,0,0
220,220,146,,,new,sad,negative,1,0,0
221,221,133,jazz,其他,new,sad,positive,1,0,0
222,222,97,soundtrack,,old,happy,positive,1,0,0
223,223,105,R&B,英语,,happy,positive,1,0,0
224,224,108,R&B,其他,,peaceful,negative,1,0,0
225,225,93,R&B,韩语,new,happy,negative,1,0,0
226,226,124,dance,英语,new,sad,negative,1,0,0
227,227,136,,日语,,happy,positive,1,0,0
228,228,95,R&B,,old,mad,positive,1,0,0
229,229,112,soundtrack,韩语,old,sad,positive,1,0,0
230,230,74,,其他,,happy,positive,1,0,0
231,231,60,,英语,new,mad,positive,1,0,0
232,232,129,dance,日语,,sad,positive,1,0,0
233,233,116,soundtrack,日语,,mad,negative,1,0,0
234,234,129,soundtrack,其他,new,sad,positive,1,0,0
235,235,121,jazz,韩语,old,mad,positive,1,0,0
236,236,64,soundtrack,,old,mad,positive,1,0,0
237,237,142,,日语,,sad,negative,1,0,0
238,238,125,R&B,国语,old,happy,negative,1,0,0
239,239,109,soundtrack,英语,new,sad,negative,1,0,0
240,240,94,soundtrack,英语,new,sad,negative,1,0,0
241,241,70,pop,英语,,peaceful,negative,1,0,0
242,242,61,pop,,old,happy,negative,1,0,0
243,243,114,jazz,国语,new,peaceful,positive,1,0,0
244,244,104,jazz,其他,new,sad,negative,1,0,0
245,245,69,R&B,日语,old,sad,negative,1,0,0
246,246,97,soundtrack,,new,mad,positive,1,0,0
247,247,60,dance,其他,new,mad,negative,1,0,0
248,248,81,,其他,old,happy,positive,1,0,0
249,249,139,,其他,old,sad,positive,1,0,0
250,250,101,jazz,国语,new,sad,positive,1,0,0
251,251,91,R&B,,new,mad,negative,1,0,0
252,252,68,R&B,韩语,,sad,positive,1,0,0
253,253,123,,英语,new,happy,positive,1,0,0
254,254,138,dance,其他,,happy,positive,1,0,0
255,255,107,dance,英语,new,peaceful,positive,1,0,0
256,256,141,,其他,,mad,negative,1,0,0
257,257,99,pop,,old,sad,positive,1,0,0
258,258,126,soundtrack,日语,,sad,positive,1,0,0
259,259,79,,日语,old,peaceful,negative,1,0,0
260,260,102,dance,韩语,,happy,positive,1,0,0
261,261,63,,韩语,old,peaceful,negative,1,0,0
262,262,93,jazz,英语,new,sad,negative,1,0,0
263,263,119,soundtrack,国语,old,happy,positive,1,0,0
264,264,76,soundtrack,韩语,old,peaceful,positive,1,0,0
265,265,62,R&B,国语,old,sad,negative,1,0,0
266,266,112,jazz,英语,new,happy,negative,1,0,0
267,267,129,soundtrack,韩语,new,mad,negative,1,0,0
268,268,65,dance,英语,old,peaceful,negative,1,0,0
269,269,112,R&B,韩语,old,mad,negative,1,0,0
270,270,83,pop,日语,,sad,positive,1,0,0
271,271,90,soundtrack,国语,,happy,positive,1,0,0
272,272,71,pop,,new,happy,negative,1,0,0
273,273,141,,国语,,mad,negative,1,0,0
274,274,137,jazz,日语,,sad,positive,1,0,0
275,275,74,pop,韩语,,mad,negative,1,0,0
276,276,125,R&B,英语,new,happy,positive,1,0,0
277,277,107,dance,国语,new,mad,positive,1,0,0
278,278,119,R&B,英语,old,sad,positive,1,0,0
279,279,148,soundtrack,英语,,happy,negative,1,0,0
280,280,143,pop,英语,,peaceful,positive,1,0,0
281,281,69,pop,日语,old,sad,positive,1,0,0
282,282,88,R&B,,,peaceful,positive,1,0,0
283,283,63,,韩语,new,peaceful,positive,1,0,0
284,284,65,soundtrack,日语,,peaceful,negative,1,0,0
285,285,77,,韩语,,sad,positive,1,0,0
286,286,116,jazz,韩语,,sad,positive,1,0,0
287,287,85,jazz,其他,old,peaceful,negative,1,0,0
288,288,117,R&B,,,mad,positive,1,0,0
289,289,139,jazz,国语,,peaceful,positive,1,0,0
290,290,137,soundtrack,,,mad,positive,1,0,0
291,291,82,pop,韩语,,sad,positive,1,0,0
292,292,99,R&B,英语,old,peaceful,negative,1,0,0
293,293,62,R&B,其他,,happy,negative,1,0,0
294,294,110,,韩语,,peaceful,positive,1,0,0
295,295,118,soundtrack,韩语,new,peaceful,positive,1,0,0
296,296,147,R&B,日语,old,sad,positive,1,0,0
297,297,84,dance,韩语,new,mad,positive,1,0,0
298,298,99,dance,,,mad,positive,1,0,0
299,299,113,R&B,韩语,,sad,negative,1,0,0
300,300,139,R&B,其他,,sad,positive,1,0,0
301,301,95,R&B,,old,mad,positive,1,0,0
302,302,92,R&B,国语,,mad,negative,1,0,0
303,303,91,jazz,英语,new,sad,negative,1,0,0
304,304,100,jazz,,new,happy,positive,1,0,0
305,305,103,jazz,英语,new,peaceful,positive,1,0,0
306,306,61,jazz,其他,old,happy,negative,1,0,0
307,307,97,R&B,国语,old,mad,positive,1,0,0
308,308,120,pop,韩语,old,peaceful,negative,1,0,0
309,309,138,soundtrack,英语,new,mad,negative,1,0,0
310,310,72,,国语,old,mad,negative,1,0,0
311,311,121,dance,日语,new,happy,negative,1,0,0
312,312,129,dance,,old,mad,positive,1,0,0
313,313,103,dance,,new,peaceful,negative,1,0,0
314,314,140,dance,其他,,happy,positive,1,0,0
315,315,128,pop,国语,new,happy,positive,1,0,0
316,316,130,R&B,韩语,,happy,negative,1,0,0
317,317,77,,国语,,mad,negative,1,0,0
318,318,127,,,new,happy,negative,1,0,0
319,319,107,pop,其他,new,sad,positive,1,0,0
320,320,131,R&B,,,mad,positive,1,0,0
321,321,96,R&B,其他,new,sad,positive,1,0,0
322,322,69,pop,国语,old,sad,negative,1,0,0
323,323,130,jazz,国语,,mad,negative,1,0,0
324,324,142,pop,,new,peaceful,negative,1,0,0
325,325,69,soundtrack,国语,new,happy,positive,1,0,0
326,326,100,R&B,国语,,sad,positive,1,0,0
327,327,83,soundtrack,韩语,old,mad,positive,1,0,0
328,328,137,R&B,国语,new,sad,positive,1,0,0
329,329,89,R&B,国语,new,sad,negative,1,0,0
330,330,139,R&B,日语,new,peaceful,negative,1,0,0
331,331,120,soundtrack,韩语,,mad,negative,1,0,0
332,332,105,soundtrack,英语,new,mad,negative,1,0,0
333,333,82,pop,英语,old,peaceful,negative,1,0,0
334,334,94,soundtrack,英语,new,peaceful,negative,1,0,0
335,335,137,,日语,,sad,positive,1,0,0
336,336,90,,英语,old,mad,negative,1,0,0
337,337,78,jazz,日语,old,peaceful,positive,1,0,0
338,338,67,R&B,其他,old,sad,negative,1,0,0
339,339,124,R&B,,old,sad,negative,1,0,0
340,340,149,R&B,,old,happy,negative,1,0,0
341,341,126,pop,日语,new,mad,positive,1,0,0
342,342,103,jazz,韩语,old,mad,negative,1,0,0
343,343,91,,日语,,happy,negative,1,0,0
344,344,118,jazz,,old,peaceful,positive,1,0,0
345,345,73,,其他,,sad,positive,1,0,0
346,346,79,pop,韩语,new,peaceful,positive,1,0,0
347,347,80,,,old,sad,positive,1,0,0
348,348,140,soundtrack,,old,peaceful,positive,1,0,0
349,349,127,dance,国语,,mad,negative,1,0,0
350,350,66,,英语,old,peaceful,negative,1,0,0
351,351,134,R&B,英语,old,happy,negative,1,0,0
352,352,66,jazz,其他,old,mad,positive,1,0,0
353,353,97,,国语,new,peaceful,negative,1,0,0
354,354,77,soundtrack,其他,old,mad,positive,1,0,0
355,355,144,jazz,韩语,old,mad,positive,1,0,0
356,356,76,jazz,日语,old,mad,positive,1,0,0
357,357,104,R&B,韩语,new,peaceful,negative,1,0,0
358,358,113,pop,日语,old,peaceful,negative,1,0,0
359,359,146,,其他,new,mad,negative,1,0,0
360,360,130,pop,韩语,new,happy,negative,1,0,0
361,361,118,,日语,old,mad,negative,1,0,0
362,362,83,,国语,new,peaceful,negative,1,0,0
363,363,145,soundtrack,日语,old,mad,positive,1,0,0
364,364,147,dance,其他,old,sad,positive,1,0,0
365,365,82,,日语,old,peaceful,positive,1,0,0
366,366,62,,韩语,old,mad,positive,1,0,0
367,367,143,,,new,peaceful,negative,1,0,0
368,368,85,soundtrack,国语,new,happy,positive,1,0,0
369,369,142,pop,国语,,mad,positive,1,0,0
370,370,64,soundtrack,韩语,new,happy,positive,1,0,0
371,371,118,R&B,,,mad,positive,1,0,0
372,372,73,jazz,,old,happy,positive,1,0,0
373,373,90,R&B,其他,old,happy,positive,1,0,0
374,374,80,dance,其他,new,peaceful,positive,1,0,0
375,375,109,dance,,old,happy,negative,1,0,0
376,376,67,,英语,,sad,positive,1,0,0
377,377,109,,其他,old,sad,positive,1,0,0
378,378,134,pop,其他,,peaceful,positive,1,0,0
379,379,135,R&B,日语,new,happy,negative,1,0,0
380,380,107,pop,韩语,old,peaceful,positive,1,0,0
381,381,132,R&B,,old,happy,negative,1,0,0
382,382,145,,日语,,happy,negative,1,0,0
383,383,76,pop,其他,new,mad,positive,1,0,0
384,384,142,jazz,其他,new,peaceful,negative,1,0,0
385,385,121,pop,韩语,old,happy,negative,1,0,0
386,386,77,pop,日语,,happy,positive,1,0,0
387,387,121,jazz,国语,old,mad,negative,1,0,0
388,388,65,jazz,英语,new,happy,negative,1,0,0
389,389,71,jazz,其他,old,mad,positive,1,0,0
390,390,114,soundtrack,日语,old,peaceful,positive,1,0,0
391,391,82,dance,其他,new,happy,positive,1,0,0
392,392,71,R&B,英语,,happy,positive,1,0,0
393,393,92,R&B,韩语,old,peaceful,negative,1,0,0
394,394,112,R&B,,new,sad,positive,1,0,0
395,395,100,soundtrack,国语,old,happy,positive,1,0,0
396,396,106,,国语,,sad,positive,1,0,0
397,397,73,pop,日语,new,sad,negative,1,0,0
398,398,149,,日语,,mad,negative,1,0,0
399,399,112,jazz,其他,,sad,positive,1,0,0
400,400,89,soundtrack,英语,,happy,positive,1,0,0
401,401,131,dance,,new,peaceful,positive,1,0,0
402,402,97,dance,国语,old,mad,negative,1,0,0
403,403,106,dance,韩语,,peaceful,positive,1,0,0
404,404,89,R&B,韩语,,happy,negative,1,0,0
405,405,134,dance,日语,old,mad,negative,1,0,0
406,406,132,R&B,其他,,happy,negative,1,0,0
407,407,67,R&B,英语,new,peaceful,positive,1,0,0
408,408,137,pop,其他,old,sad,positive,1,0,0
409,409,77,pop,国语,,sad,negative,1,0,0
410,410,108,soundtrack,,,peaceful,positive,1,0,0
411,411,66,soundtrack,英语,,happy,positive,1,0,0
412,412,64,R&B,英语,new,peaceful,negative,1,0,0
413,413,62,pop,,,mad,positive,1,0,0
414,414,111,jazz,其他,old,sad,positive,1,0,0
415,415,147,soundtrack,国语,new,mad,positive,1,0,0
416,416,87,,英语,old,sad,positive,1,0,0
417,417,129,,韩语,old,happy,negative,1,0,0
418,418,107,R&B,日语,old,happy,positive,1,0,0
419,419,104,jazz,,,sad,positive,1,0,0
420,420,127,dance,国语,new,peaceful,positive,1,0,0
421,421,77,soundtrack,韩语,new,mad,negative,1,0,0
422,422,149,dance,日语,new,happy,negative,1,0,0
423,423,75,,,new,happy,negative,1,0,0
424,424,127,jazz,其他,,peaceful,negative,1,0,0
425,425,121,,国语,new,peaceful,positive,1,0,0
426,426,128,jazz,,new,peaceful,positive,1,0,0
427,427,126,pop,韩语,,peaceful,negative,1,0,0
428,428,124,,国语,new,peaceful,positive,1,0,0
429,429,104,,韩语,new,sad,negative,1,0,0
430,430,75,R&B,韩语,old,mad,positive,1,0,0
431,431,60,dance,英语,,happy,negative,1,0,0
432,432,126,,国语,old,peaceful,positive,1,0,0
433,433,80,soundtrack,,old,peaceful,negative,1,0,0
434,434,96,jazz,日语,,sad,positive,1,0,0
435,435,101,pop,国语,,sad,positive,1,0,0
436,436,138,R&B,其他,old,sad,negative,1,0,0
437,437,64,jazz,,new,mad,positive,1,0,0
438,438,66,soundtrack,国语,old,mad,negative,1,0,0
439,439,78,pop,国语,,peaceful,positive,1,0,0
440,440,118,dance,英语,old,happy,positive,1,0,0
441,441,132,pop,,,mad,negative,1,0,0
442,442,129,jazz,韩语,new,peaceful,negative,1,0,0
443,443,105,soundtrack,国语,,happy,positive,1,0,0
444,444,137,jazz,英语,old,mad,negative,1,0,0
445,445,137,jazz,英语,old,mad,negative,1,0,0
446,446,86,R&B,英语,,mad,negative,1,0,0
447,447,147,pop,国语,old,peaceful,positive,1,0,0
448,448,124,,,,mad,negative,1,0,0
449,449,124,soundtrack,国语,,peaceful,positive,1,0,0
450,450,90,dance,韩语,old,sad,positive,1,0,0
451,451,98,R&B,,,happy,negative,1,0,0
452,452,65,dance,国语,old,peaceful,positive,1,0,0
453,453,68,dance,国语,,happy,positive,1,0,0
454,454,118,soundtrack,其他,new,happy,negative,1,0,0
455,455,76,soundtrack,日语,new,sad,negative,1,0,0
456,456,114,R&B,其他,,happy,negative,1,0,0
457,457,133,pop,英语,new,mad,positive,1,0,0
458,458,79,pop,韩语,,sad,negative,1,0,0
459,459,78,R&B,,old,mad,negative,1,0,0
460,460,81,soundtrack,英语,old,peaceful,negative,1,0,0
461,461,82,,日语,new,happy,positive,1,0,0
462,462,101,dance,,old,happy,negative,1,0,0
463,463,97,pop,其他,new,peaceful,positive,1,0,0
464,464,121,pop,,old,happy,negative,1,0,0
465,465,71,R&B,其他,,happy,negative,1,0,0
466,466,103,dance,其他,,sad,negative,1,0,0
467,467,117,R&B,,,happy,negative,1,0,0
468,468,124,,,,happy,positive,1,0,0
469,469,139,,英语,,happy,positive,1,0,0
470,470,143,,英语,old,mad,positive,1,0,0
471,471,76,dance,国语,old,peaceful,positive,1,0,0
472,472,69,pop,其他,,happy,positive,1,0,0
473,473,109,dance,,old,happy,negative,1,0,0
474,474,106,R&B,韩语,old,happy,negative,1,0,0
475,475,144,R&B,韩语,,happy,positive,1,0,0
476,476,106,soundtrack,其他,new,sad,negative,1,0,0
477,477,110,jazz,,old,peaceful,negative,1,0,0
478,478,109,,,,mad,negative,1,0,0
479,479,111,,韩语,old,happy,positive,1,0,0
480,480,127,pop,其他,new,happy,negative,1,0,0
481,481,133,jazz,其他,,sad,positive,1,0,0
482,482,102,jazz,其他,new,sad,negative,1,0,0
483,483,83,R&B,英语,,happy,negative,1,0,0
484,484,101,jazz,韩语,,peaceful,positive,1,0,0
485,485,131,jazz,日语,new,happy,positive,1,0,0
486,486,79,pop,国语,,mad,negative,1,0,0
487,487,90,dance,日语,old,happy,negative,1,0,0
488,488,76,jazz,其他,new,peaceful,negative,1,0,0
489,489,84,dance,国语,old,sad,negative,1,0,0
490,490,91,,,old,happy,negative,1,0,0
491,491,76,,英语,,sad,positive,1,0,0
492,492,134,soundtrack,韩语,old,happy,negative,1,0,0
493,493,88,,日语,old,mad,negative,1,0,0
494,494,76,soundtrack,英语,new,peaceful,negative,1,0,0
495,495,147,R&B,英语,old,peaceful,negative,1,0,0
496,496,146,soundtrack,,old,happy,positive,1,0,0
497,497,108,soundtrack,韩语,old,peaceful,negative,1,0,0
498,498,117,jazz,日语,old,sad,positive,1,0,0
499,499,103,pop,韩语,new,peaceful,positive,1,0,0
500,500,94,R&B,韩语,old,peaceful,positive,1,0,0
501,501,110,soundtrack,英语,,peaceful,negative,1,0,0
502,502,99,jazz,韩语,old,sad,positive,1,0,0
503,503,129,pop,国语,new,happy,positive,1,0,0
504,504,82,R&B,国语,old,sad,negative,1,0,0
505,505,64,,日语,,mad,positive,1,0,0
506,506,130,jazz,其他,new,happy,negative,1,0,0
507,507,132,R&B,其他,new,mad,negative,1,0,0
508,508,116,dance,其他,old,happy,positive,1,0,0
509,509,93,pop,日语,new,sad,negative,1,0,0
510,510,147,jazz,国语,new,sad,negative,1,0,0
511,511,63,soundtrack,韩语,,mad,negative,1,0,0
512,512,77,R&B,其他,,sad,positive,1,0,0
513,513,80,,日语,old,peaceful,negative,1,0,0
514,514,111,R&B,其他,,mad,positive,1,0,0
515,515,129,R&B,,old,peaceful,positive,1,0,0
516,516,124,R&B,日语,,mad,positive,1,0,0
517,517,107,jazz,英语,new,sad,negative,1,0,0
518,518,77,,英语,,sad,negative,1,0,0
519,519,147,jazz,其他,,peaceful,negative,1,0,0
520,520,95,soundtrack,,new,sad,positive,1,0,0
521,521,105,,,old,happy,positive,1,0,0
522,522,105,dance,韩语,new,peaceful,positive,1,0,0
523,523,130,pop,,new,peaceful,negative,1,0,0
