,bgm,genre
631,脸红的思春期(BOL4) - You(=I),
637,蒋雪儿 - 莫问归期,
639,蓝心羽 - 别处的夕阳,
641,蓝心羽 - 成全,
643,蓝心羽 - 贩卖日落,
644,蓝心羽、黄诗扶 - 听起来很浪漫的事,
648,郭子果 - 倾殇,
649,郭曦文 - Galway Girl (片段),
650,锦零 - 小桥夜雨,
656,鬼琴天地响 - eternity,
669,Baron - Comethru (Baron remix),
672,BIGBANG (빅뱅) - Make Love,
679,Boyce Avenue _ Bea Miller - We Can't Stop,
685,DAOKO (ダヲコ) _ 米津玄師 (よねづ けんし) - 打上花火,
688,DJ OKAWARI - Luv Letter,
694,en - 嚣张,
695,en - 嚣张~1,
703,HYE SUNG _ Lauv - Paris In The Rain (HYE SUNG Remix),
708,Kaash Paige - LOVE SONGS,
714,LINKIN PARK - In The End (Remix)(DJ暖豪版),
719,MappleZS - May I see U again+I love you 3000 times,
722,Matte _ Ember Island - Umbrella (Matte Remix),
723,MayPiano - Illusionary Daytime (钢琴版),
728,NINEONE # - i don't wanna see u anymore 2019,
732,Pape-r - 你走以后1.0,
740,Russ - Psycho (Pt. 2) (Explicit),
742,Selena Gomez _ Marshmello - Wolves,
743,SeVen.13 - Limitless（无限）,
744,SILENT SIREN (サイレント・サイレン) - secret base ~君がくれたもの~ (secret base ~你给我的所有~),
751,Trevor Daniel _ Summer Walker - Falling (Summer Walker Remix),
756,Twinbed - Trouble I'm In~1,
759,Various Artists - How You Make Me Feel,
765,XXXTentacion - the remedy for a broken heart (why am I so in love) (Explicit),
768,东子陌 - 爱不得忘不舍 (DJ版),
769,东子陌 - 送给未来的你,
775,井胧 - 把孤独当做晚餐,
777,冰幽 _ 解忧草 - 辞·九门回忆,
779,刘大壮 - 给我一首歌的时间 (片段),
780,刘大壮 - 那些你很冒险的梦 (片段),
783,华语群星 - 意外 (Live片段),
793,周杰伦 - 夜曲 (1),
800,夏婉安 - 渡我不渡她,
803,妖姬、肖Music - EA7全凭感觉 (DJ版),
804,姜烨玲 - 虹之间,
808,安筱冷 - 能轻易取代始终不重要,
812,宣美 (선미) - 사이렌(Siren),
813,小咪 - 我走后,
816,庞宁 - 笨拙的想把所有温柔都给你,
826,明歆悦 - 离歌 (女声版片段),
827,明洋 - 五月雨变奏电音 (Remix),
829,春磊 - 雨纷纷 旧故里草木深 (live片段),
830,是耀温顺 - 2020硬曲,
831,是耀温顺 - Okok (DJ版片段),
832,是耀温顺 - 淡若清风,
846,枯木逢春 - 这一生关于你的风景,
850,欧邦聪、画风风、小可 - you (bootleg混音版),
854,泽亦龙 - 孤幻 (Perfect Mix),
865,白浩 - 迷人的危险 (DJ版),
866,百变小彤 - 戒烟 (片段),
873,精彩最初 - 我不配拥有爱,
874,纯音乐 - You (钢琴版),
875,网络歌手 - 意外 (豪大大),
878,耀仔 - Take Me Hand (新版),
879,耀仔 - 嗨 baby,
880,耀仔 - 我知道你 (拍手版),
881,耀仔 - 春娇与志明,
884,胡小斐 _ 董嘉鸿 - 一不小心爱上你,
892,葛东琪 - 悬溺,
901,藤竹京 - 此生不换 (片段),
910,达多 (달다) - 금요병 (周五病),
914,郭顶 - 水星记~1,
916,阿悠悠 - 念旧,
918,阿翔班长 - 烟火里的尘埃 (片段),
923,陈雪凝 - 你的酒馆对我打了烊,
932,魏新雨 - 余情未了,
934,黄诗扶 - 九万字 (念白版),
936,헤이즈 - We don't talk together (Feat. 기리보이) (Prod. SUGA),
