,type,goods_whole_sale,video_like,video_comment,video_forward,bgm,bpm,genre,language,public_time,attitude,emotion
17,美妆类,256.0,0.0,0.0,0.0,嚣张 (片段) - 刘妍菲,135.9991776,Pop,国语,2020/4/24,negative,happy
18,美妆类,0.0,135000.0,7319.0,2922.0,Shooting Flight,143.5546875,hiphop,其他,2015/5/20,,happy
19,美妆类,0.0,161000.0,1145.0,498.0,我喜欢的人总是有女朋友,123.046875,country,国语,2019/6/14,positive,peaceful
20,美妆类,0.0,188000.0,5817.0,4862.0,Wannabe,112.3471467,Dance,韩语,2020/3/9,positive,happy
21,美妆类,0.0,214000.0,2031.0,833.0,昭和少女,129.1992188,hiphop,,,,mad
22,美妆类,0.0,359000.0,10000.0,6865.0,Tribute (Dj Fernando Lopez Radio Edit),129.1992188,Dance,纯音乐,2010/8/24,positive,mad
23,美妆类,0.0,524000.0,7010.0,1959.0,のんびり晴ればれ(M-40AB/M-41AB/M-60A),123.046875,Soundtrack,纯音乐,2001/7/20,positive,happy
24,美妆类,0.0,212000.0,2681.0,837.0,就微笑了,103.359375,Soundtrack,国语,2006/8/25,positive,mad
25,美妆类,0.0,63000.0,1179.0,83.0,学校(M-13),184.5703125,Soundtrack,纯音乐,2016/5/25,positive,happy
26,美妆类,0.0,392000.0,5957.0,1179.0,Windy Old Weather,103.359375,Soundtrack,英语,2014/11/11,,mad
27,美妆类,0.0,401000.0,9838.0,1678.0,普通女孩,99.38401442,blues,国语,2019/12/1,positive,sad
28,美妆类,0.0,463000.0,5126.0,513.0,Micmacs A La Gare,99.38401442,Soundtrack,纯音乐,2009/10/19,positive,sad
29,美妆类,0.0,263000.0,7196.0,3549.0,【已买断】騎虎難下,89.10290948,pop,,,,happy
30,美妆类,0.0,174000.0,1654.0,999.0,sans.,129.1992188,Soundtrack,纯音乐,2015/9/15,positive,peaceful
31,美妆类,0.0,97000.0,3045.0,1972.0,"24 Caprices, Op.1: No. 2 in B Minor",99.38401442,classical,,,,happy
32,美妆类,0.0,385000.0,13000.0,31000.0,We Will Rock You,89.10290948,rock,英语,2020/7/20,positive,happy
33,美妆类,0.0,930000.0,12000.0,1444.0,Situation,112.3471467,classical,英语,2020/4/24,positive,happy
34,美妆类,0.0,511000.0,1876.0,8259.0,난 바빠 (我很忙),129.1992188,hiphop,韩语,2010/9/9,positive,mad
35,美妆类,0.0,336000.0,12873.0,3760.0,慢慢等 (原唱: 韦礼安),86.1328125,blues,国语,2009/3/13,,peaceful
36,美妆类,0.0,608000.0,16542.0,3150.0,Red Light,123.046875,Pop,韩语,2014/7/7,positive,mad
37,美妆类,0.0,524000.0,18453.0,6503.0,썸 탈꺼야 (Some),107.6660156,classical,,,,mad
38,美妆类,0.0,31000.0,3100.0,484.0,Nobody,129.1992188,Dance,韩语,2008/9/22,positive,mad
39,美妆类,0.0,88000.0,2316.0,1730.0,Right Now(Na Na Na),135.9991776,hiphop,,,,mad
40,美妆类,0.0,57000.0,1364.0,213.0,山鬼,123.046875,Pop,国语,2017/8/24,positive,peaceful
41,美妆类,0.0,224000.0,2500.0,1464.0,无法原谅,135.9991776,Soundtrack,国语,2011/1/1,positive,happy
42,美妆类,0.0,410000.0,10000.0,4779.0,告白,135.9991776,rock,国语,2019/2/14,positive,sad
43,美妆类,0.0,1049000.0,10000.0,2043.0,东西,172.265625,blues,国语,2018/9/21,positive,sad
44,美妆类,0.0,42000.0,1648.0,764.0,Lil Mama,99.38401442,Pop,英语,2015/11/6,positive,happy
45,美妆类,0.0,1313000.0,16000.0,3224.0,100 Ways (MK Remix),123.046875,hiphop,,,,mad
46,美妆类,0.0,2082000.0,34000.0,6547.0,「名探偵コナン」~メインテーマ,129.1992188,Soundtrack,纯音乐,1996/1/25,positive,happy
47,美妆类,0.0,1864000.0,54000.0,27000.0,ナルトの日常 (鸣人的日常),135.9991776,Soundtrack,纯音乐,2003/3/19,positive,happy
48,美妆类,6044.0,177224.0,0.0,0.0,恋のエチュード,129.1992188,Soundtrack,纯音乐,2009/8/5,positive,sad
49,美妆类,295681.0,321651.0,0.0,0.0,When You Left Me 02,129.1992188,hiphop,纯音乐,2019/8/12,positive,peaceful
50,美妆类,882.0,364956.0,0.0,0.0,The Lazy Song,64.59960938,blues,英语,2011/12/26,positive,peaceful
51,美妆类,1873.0,338866.0,0.0,0.0,氷だらけのアイスコーヒー (全是冰的冰咖啡),117.4538352,Pop,纯音乐,2011/8/13,positive,happy
52,美妆类,8453.0,462274.0,0.0,0.0,The Dollhouse Dance,103.359375,Pop,纯音乐,2017/6/2,positive,happy
53,美妆类,2783.0,162263.0,0.0,0.0,Bibbidi Bobbidi Boo,112.3471467,Pop,英语,2013/9/18,positive,happy
54,美妆类,3506.0,306176.0,0.0,0.0,Tape and Glue,135.9991776,Pop,英语,2011/7/13,positive,happy
55,美妆类,3618.0,553525.0,0.0,0.0,Queen of the Lot,129.1992188,SingerSongwriter,英语,2010/4/13,positive,mad
56,美妆类,4403.0,646096.0,0.0,0.0,BOKE,95.703125,R&B,韩语,2019/2/2,positive,sad
57,美妆类,502.0,131117.0,0.0,0.0,"Hi, Hi, Hi",117.4538352,Folk,英语,2010/12/1,positive,sad
58,美妆类,5150.0,161264.0,0.0,0.0,しろつめくさ (白诘草),117.4538352,Pop,日语,2001/6/25,positive,peaceful
59,美妆类,7724.0,701469.0,0.0,0.0,Lucky,129.1992188,Pop,纯音乐,2019/9/22,negative,mad
60,美妆类,244077.0,636414.0,0.0,0.0,Discover,172.265625,Pop,英语,2009/1/1,positive,happy
61,美妆类,1402.0,303563.0,0.0,0.0,Never On Sunday (Remastered),123.046875,EasyListening,英语,1962/1/1,negative,mad
62,美妆类,13055.0,509467.0,0.0,0.0,Walking On Sunshine,107.6660156,Pop,英语,1985/2/14,negative,happy
63,美妆类,309083.0,1174385.0,0.0,0.0,Candy street,117.4538352,Pop,英语,2011/3/28,positive,happy
64,美妆类,3182.0,156761.0,0.0,0.0,あったかいんだからぁ (Acoustic),129.1992188,Pop,日语,2016/7/5,negative,peaceful
65,美妆类,3547.0,644099.0,0.0,0.0,mind games,107.6660156,Pop,英语,2019/5/3,negative,happy
66,美妆类,9206.0,335441.0,0.0,0.0,Throwaway (SG Lewis x Clairo),143.5546875,Electronica,英语,2019/3/15,positive,sad
67,美妆类,4964.0,300770.0,0.0,0.0,When I'm Ready,99.38401442,Rap/HipHop,其他,2013/5/21,,sad
68,美妆类,1097.0,784141.0,0.0,0.0,ナルトの日常 (鸣人的日常),135.9991776,Soundtrack,纯音乐,2003/3/19,positive,happy
69,美妆类,14419.0,199156.0,0.0,0.0,Like This Guy,89.10290948,Pop,英语,2017/11/3,negative,happy
70,美妆类,92345.0,874682.0,0.0,0.0,Pink Lipstick,83.35433468,Pop,英语,2018/2/18,positive,peaceful
71,美妆类,8779.0,430512.0,0.0,0.0,新学期スタート! (新学期开始!),117.4538352,Soundtrack,纯音乐,2013/3/20,positive,peaceful
72,美妆类,7030.0,170392.0,0.0,0.0,grass*harvest,95.703125,country,纯音乐,2013/8/12,positive,sad
73,美妆类,4927.0,130567.0,0.0,0.0,Libertines Jacket,143.5546875,Pop,英语,2019/11/15,positive,sad
74,美妆类,18780.0,308924.0,0.0,0.0,?? (BBoom BBoom),123.046875,hiphop,韩语,2018/8/30,negative,happy
75,美妆类,73792.0,184578.0,0.0,0.0,Someday,107.6660156,classical,英语,2020/7/24,negative,mad
76,美妆类,88639.0,227646.0,0.0,0.0,Pack Up Your Troubles in Your Old Kit Bag,161.49902340000003,Pop,英语,2009/1/1,negative,happy
77,美妆类,50109.0,325686.0,0.0,0.0,How to Dismantle a Life,123.046875,Jazz,英语,2018/4/25,,happy
78,美妆类,7346.0,215941.0,0.0,0.0,Busy Body,172.265625,Pop,英语,2019/12/6,positive,happy
79,美妆类,20814.0,155524.0,0.0,0.0,When I'm Ready,99.38401442,Rap/HipHop,其他,2013/5/21,,sad
80,美妆类,10049.0,303095.0,0.0,0.0,Don't Panic,61.5234375,Rock,英语,2000/7/10,positive,sad
81,美妆类,21361.0,255376.0,0.0,0.0,Paris,103.359375,Electronica,纯音乐,2016/4/19,positive,sad
82,美妆类,2553.0,200174.0,0.0,0.0,??? ??? (Hard to Start),143.5546875,Pop,韩语,2019/2/27,positive,mad
83,美妆类,60703.0,94549.0,0.0,0.0,桜の木の下で,103.359375,blues,日语,2005/5/25,negative,happy
84,美妆类,0.0,63000.0,654.0,1313.0,My Boyfriend Is Gay,117.4538352,Pop,英语,2018/12/25,negative,happy
85,美妆类,0.0,23000.0,3834.0,488.0,Micmacs à la gare,99.38401442,Soundtrack,纯音乐,2009/10/19,negative,sad
86,美妆类,0.0,10000.0,127.0,15.0,금요병 (周五病),103.359375,Alternative,韩语,2017/7/17,negative,sad
87,美妆类,0.0,12000.0,3261.0,2535.0,The Party Troll,123.046875,Dance,纯音乐,2013/2/20,negative,mad
88,美妆类,0.0,61000.0,128.0,356.0,Yellow wagon,117.4538352,hiphop,,,,peaceful
89,美妆类,0.0,41.0,48.0,5.0,アイロニ (反语),89.10290948,Pop,日语,2015/4/1,negative,happy
90,美妆类,0.0,803.0,128.0,19.0,Marvin Gaye,95.703125,country,,,,sad
91,美妆类,0.0,104000.0,2322.0,1085.0,SAD! & XO Tour Life (COVER),135.9991776,hiphop,,,,peaceful
92,美妆类,0.0,403000.0,9582.0,0.0,西班牙斗牛士进行曲,129.1992188,WorldMusic,纯音乐,2005/1/1,negative,happy
93,美妆类,0.0,1506.0,448.0,30.0,MOM (原唱：蜡笔小心),123.046875,hiphop,,,,happy
94,美妆类,0.0,21000.0,1410.0,281.0,굳세어라 행진곡 (加油时刻进行曲) (Instrumental),117.4538352,Soundtrack,纯音乐,2007/3/29,negative,sad
95,美妆类,0.0,78000.0,3996.0,5908.0,The Party Troll,123.046875,Dance,纯音乐,2013/2/20,negative,mad
96,美妆类,0.0,70000.0,900.0,454.0,动物园里的大象与河马幸福的生活在了一起,172.265625,blues,英语,2017/2/22,,mad
97,美妆类,0.0,24000.0,33.0,15.0,Stick Or Wistful,80.74951172,Pop,纯音乐,2019/5/16,negative,peaceful
98,美妆类,0.0,33000.0,39.0,15.0,Oops,103.359375,Pop,英语,2016/11/18,negative,happy
99,美妆类,0.0,8792.0,317.0,162.0,Absolutely Anything,123.046875,Dance,英语,2019/12/10,negative,happy
100,美妆类,0.0,1869.0,37.0,9.0,Heaven's Postcard (Rev. 21:1-5) [feat. Eboni Franklin],64.59960938,Pop,英语,2013/8/27,,peaceful
101,美妆类,0.0,79.0,13.0,1.0,小朋友她现在不想谈恋爱 (Live),92.28515625,blues,,,,happy
102,美妆类,0.0,576.0,25.0,84.0,7895,135.9991776,blues,,,,happy
103,美妆类,0.0,154000.0,2273.0,477.0,别再问我什么是迪斯科（翻自 新裤子）,151.99908090000002,hiphop,国语,2020/4/12,negative,mad
104,美妆类,0.0,50000.0,107.0,376.0,I'm Callin',117.4538352,Alternative,英语,2015/2/2,negative,happy
105,美妆类,0.0,936.0,251.0,50.0,いっしょに帰ろう (一起回去吧),135.9991776,Soundtrack,日语,2014/5/28,negative,happy
106,美妆类,0.0,83000.0,161.0,20.0,微微,112.3471467,Pop,国语,2020/3/20,negative,peaceful
107,美妆类,0.0,35000.0,166.0,115.0,Sun In Our Eyes,123.046875,Pop,英语,2018/7/14,negative,mad
108,美妆类,0.0,18000.0,502.0,678.0,Could You?,143.5546875,Alternative,其他,2012/4/17,,peaceful
109,美妆类,0.0,3770.0,296.0,32.0,I Can,99.38401442,Rap/HipHop,英语,2020/7/22,negative,happy
110,美妆类,0.0,1255.0,44.0,6.0,Dreams,151.99908090000002,Pop,英语,2020/7/24,negative,happy
111,美妆类,0.0,5049.0,212.0,183.0,皇上，谁傲娇？,129.1992188,Pop,国语,2016/8/12,negative,happy
112,美妆类,0.0,70.0,28.0,10.0,馬鹿ふたり (两个笨蛋),123.046875,Soundtrack,纯音乐,2005/1/28,negative,mad
113,美妆类,0.0,4001.0,545.0,83.0,EA7小曲挺有劲 (Remix),123.046875,Pop,其他,2018/3/9,negative,happy
114,美妆类,0.0,3925.0,161.0,13.0,woo!,112.3471467,Pop,国语,2020/6/26,negative,happy
115,美妆类,0.0,325000.0,0.0,3574.0,Everybody,95.703125,blues,,,,sad
116,美妆类,0.0,2772.0,569.0,74.0,Sucker for You,95.703125,Pop,英语,2017/10/13,negative,mad
117,美妆类,0.0,22000.0,1106.0,729.0,小精灵 (原唱: TFBOYS),129.1992188,Pop,国语,2017/12/15,,happy
118,美妆类,0.0,1541.0,94.0,22.0,Air Balloon,64.59960938,blues,英语,2014/5/2,negative,peaceful
119,美妆类,0.0,2912.0,174.0,58.0,The Party Troll,123.046875,Dance,纯音乐,2013/2/20,negative,mad
120,美妆类,0.0,9060.0,123.0,16.0,Curly Wurly,103.359375,Soundtrack,纯音乐,2012/10/1,negative,happy
121,美妆类,0.0,87000.0,4676.0,959.0,Red Light Green Light,123.046875,Dance,英语,2019/12/6,negative,mad
122,美妆类,0.0,393000.0,0.0,3634.0,桃花笑 (cover: 汪睿),161.49902340000003,blues,,,,happy
123,美妆类,0.0,55000.0,1783.0,2679.0,Location,161.49902340000003,R&B,英语,2017/3/3,negative,happy
124,美妆类,0.0,39000.0,2480.0,985.0,处处吻 (女生版),83.35433468,Pop,粤语,2004/12/1,negative,sad
125,美妆类,0.0,1915.0,83.0,10.0,금요병 (周五病),103.359375,Alternative,韩语,2017/7/17,negative,sad
126,美妆类,0.0,5374.0,353.0,73.0,"Expression, When Nostalgia Came",69.83741554,Pop,英语,2017/11/17,negative,sad
127,美妆类,0.0,1500.0,154.0,38.0,最后的圣诞节piano.ver,129.1992188,country,其他,2016/12/25,,happy
128,美妆类,0.0,157.0,36.0,1.0,Life Is Good (Explicit),143.5546875,hiphop,,,,peaceful
129,美妆类,0.0,22000.0,458.0,356.0,REBORN,143.5546875,country,,,,happy
130,美妆类,0.0,1713000.0,0.0,0.0,猪突猛進 (勇往直前),135.9991776,Soundtrack,纯音乐,2015/4/1,negative,happy
131,美妆类,0.0,49000.0,929.0,182.0,It G Ma (Spazzkid Bootleg),143.5546875,hiphop,,,,happy
132,美妆类,0.0,72000.0,6379.0,1107.0,Lilly Wood & The Prick-RUA（Krystal remix）,123.046875,hiphop,,,,happy
133,美妆类,0.0,35000.0,598.0,92.0,Slapstick,151.99908090000002,Pop,纯音乐,2006/1/27,negative,mad
134,美妆类,0.0,59000.0,1620.0,747.0,这可是大人的音乐哦,135.9991776,Pop,其他,2018/4/12,negative,mad
135,美妆类,4731.0,3.0,0.0,0.0,我和你 - 皮卡丘多多,123.046875,Pop,国语,2020/5/1,negative,happy
136,美妆类,1567.0,32.0,1.0,1.0,Wonderful U (片段) - Zkaaai,86.1328125,blues,,,,peaceful
137,美妆类,1567.0,119.0,7.0,1.0,Wonderful U (片段) - Zkaaai,86.1328125,blues,,,,peaceful
138,美妆类,1567.0,1989.0,10.0,158.0,Wonderful U (片段) - Zkaaai,86.1328125,blues,,,,peaceful
139,美妆类,438000.0,69000.0,2825.0,860.0,亲亲 (Live) - 傅如乔、勾雪莹、墨谣、上官喜爱、王欣宇、夏研、张钰,89.10290948,rock,国语,2020/3/26,negative,happy
140,美妆类,438000.0,48000.0,1258.0,88.0,Blue - 未知,135.9991776,Pop,国语,2019/1/8,negative,happy
141,美妆类,438000.0,74000.0,1972.0,274.0,Summertime (夏日时光) - cinnamons、evening cinema,129.1992188,rock,日语,2017/8/7,negative,peaceful
142,美妆类,10000.0,403.0,40.0,99.0,呼吸决定 (女声版片段) - 网络歌手,107.6660156,hiphop,,,negative,happy
143,美妆类,10000.0,569.0,19.0,76.0,呼吸决定 (女声版片段) - 网络歌手,107.6660156,hiphop,,,negative,happy
144,美妆类,10000.0,15000.0,54.0,151.0,呼吸决定 (女声版片段) - 网络歌手,107.6660156,hiphop,,,negative,happy
145,美妆类,61000.0,199.0,12.0,3.0,爱的魔法 - 电流妹,95.703125,country,,,negative,peaceful
146,美妆类,61000.0,127.0,16.0,0.0,Bibbidi Bobbidi Boo - 手嶌葵,112.3471467,Pop,英语,2013/9/18,positive,happy
147,美妆类,61000.0,147.0,11.0,2.0,Melody remix - Lost.,95.703125,blues,,,,sad
148,美妆类,61000.0,110.0,41.0,9.0,是心动啊 - 一口甜、吃可爱多吗,161.49902340000003,Pop,国语,2019/9/12,positive,mad
149,美妆类,61000.0,463.0,15.0,7.0,like That - 69,99.38401442,Dance,国语,2020/6/19,,happy
150,美妆类,61000.0,358.0,22.0,1.0,星晴 - 周杰伦,89.10290948,Pop,国语,2000/11/7,positive,sad
151,美妆类,61000.0,334000.0,8302.0,1182.0,儿时 (Live) - R1SE翟潇闻、李昀锐、张炯敏、董向科、张达源,107.6660156,Pop,国语,2019/5/11,positive,peaceful
152,美妆类,9593.0,308.0,44.0,0.0,You Know I'll Go Get (Remix) - Funny Face,135.9991776,Pop,纯音乐,2020/4/26,positive,happy
153,美妆类,9593.0,643.0,51.0,1.0,You Know I'll Go Get (Remix) - Funny Face,135.9991776,Pop,纯音乐,2020/4/26,positive,happy
154,美妆类,28000.0,73000.0,7875.0,1615.0,Klamydia Umpitunnelissa - Klamydia,172.265625,Punk,芬兰语,2007/8/3,,mad
155,美妆类,80000.0,1195.0,52.0,7.0,波妞要和宗介在一起 (Live) - 网络歌手,89.10290948,rock,,,,happy
156,美妆类,80000.0,2078.0,133.0,23.0,你懂得 - 未知,89.10290948,Soundtrack,国语,2012/10/12,negative,happy
157,美妆类,80000.0,13000.0,393.0,22.0,Pretty Girl - Clairo,112.3471467,Alternative,英语,2017/8/4,positive,peaceful
158,美妆类,80000.0,1960.0,79.0,60.0,小公主 - 蒋蒋,135.9991776,Pop,国语,2018/4/23,positive,peaceful
159,美妆类,80000.0,1942.0,206.0,25.0,Stan (热播版) - 歌者林念,129.1992188,Pop,纯音乐,2020/6/3,positive,happy
160,美妆类,80000.0,4239.0,216.0,165.0,啦啦啦 - 小可乐,78.30255682,Pop,国语,2018/11/9,positive,happy
161,美妆类,80000.0,33000.0,867.0,259.0,爱的飞行日记 (片段) - 华语群星,112.3471467,Pop,国语,2010/5/18,positive,happy
162,美妆类,80000.0,140000.0,6121.0,444.0,爱出发 - TFBOYS,151.99908090000002,Pop,国语,2013/10/4,positive,peaceful
163,美妆类,13000.0,0.0,0.0,0.0,On a Slow Boat to China - Luke Thompson,75.99954044,Folk,英语,2012/11/15,positive,happy
164,美妆类,193.0,0.0,0.0,0.0,AI (纯音乐) - 橘子君-Ruxar,117.4538352,blues,纯音乐,2011/8/1,positive,happy
165,美妆类,10000.0,0.0,0.0,0.0,Pull Up (Explicit) - Luh Kel,95.703125,hiphop,,,,sad
166,美妆类,103.0,0.0,0.0,0.0,海阔天空 (Remix) - DJRE,151.99908090000002,Pop,粤语,1993/5/1,positive,mad
167,美妆类,18000.0,5.0,0.0,0.0,Natural - Imagine Dragons,117.4538352,Alternative,英语,2018/11/9,positive,happy
168,美妆类,3093.0,0.0,0.0,0.0,Rhythm On the River - Bing Crosby,143.5546875,hiphop,,,,mad
169,美妆类,14.0,0.0,0.0,0.0,紫霞仙子 - 宋瑞、梦瑾,172.265625,country,纯音乐,2019/7/19,positive,sad
170,美妆类,103.0,0.0,0.0,0.0,海阔天空 - DJRE,75.99954044,Pop,粤语,1993/5/1,positive,happy
171,美妆类,39000.0,46.0,0.0,0.0,妈妈我想你 - 汤潮,135.9991776,Soundtrack,国语,2019/12/6,negative,happy
172,美妆类,4183.0,0.0,0.0,0.0,Ain't No Stoppin' Us Now - wayman tisdale,112.3471467,rock,英语,2008/10/22,negative,mad
173,美妆类,35.0,0.0,0.0,0.0,那时正好 (女生版) - 李奕遐,151.99908090000002,rock,国语,2020/5/15,positive,peaceful
174,美妆类,2690.0,0.0,0.0,0.0,Never Say Good Bye (绝不说再见) - Mario & Nasty,99.38401442,Dance,韩语,1999/6/7,positive,peaceful
175,美妆类,34.0,0.0,0.0,0.0,那时正好 - 李奕遐,151.99908090000002,rock,国语,2018/11/14,positive,peaceful
176,美妆类,2630.0,0.0,0.0,0.0,Never Say Good Bye - Mario & Nasty,99.38401442,Soundtrack,韩语,2005/12/23,positive,peaceful
177,美妆类,39000.0,7.0,0.0,0.0,失恋阵线联盟 - 草蜢,129.1992188,Pop,国语,1990/10/18,positive,happy
178,美妆类,25.0,0.0,0.0,0.0,同样 - lambert、杨胖雨、PonySoore,92.28515625,blues,国语,2020/3/19,positive,mad
179,美妆类,3024.0,0.0,0.0,0.0,Heartbreak Hotel - Sophia Ayana,117.4538352,Rock,英语,2020/7/12,negative,mad
180,美妆类,49.0,0.0,0.0,0.0,september - 小猫多鱼,135.9991776,blues,日语,2020/5/16,positive,peaceful
181,美妆类,67000.0,1.0,0.0,0.0,夏天的风 - Uu,112.3471467,Pop,国语,2020/4/16,negative,peaceful
182,美妆类,67000.0,11.0,1.0,0.0,不仅仅是喜欢 - 孙语赛、萧全,112.3471467,Pop,国语,2018/3/6,negative,happy
183,美妆类,348.0,0.0,0.0,0.0,Betty Boop - TØm,117.4538352,Electronica,英语,2018/12/28,negative,mad
184,美妆类,39000.0,29.0,0.0,0.0,挥着翅膀的女孩 - 王喆,80.74951172,country,国语,2003/12/1,negative,happy
185,服装类,3.0,0.0,0.0,0.0,爱的可能 (片段) - 师硕晗,95.703125,Pop,国语,2020/3/21,positive,sad
186,服装类,88.0,0.0,0.0,0.0,你的万水千山 (DJ沈念版) - 海来阿木,135.9991776,hiphop,国语,2020/5/22,negative,mad
187,服装类,347.0,0.0,0.0,0.0,遥远的你 (片段) - 美樱桃,69.83741554,Rap/HipHop,国语,2020/6/20,positive,sad
188,服装类,157.0,0.0,0.0,0.0,爱的魔法 - 阮豆,95.703125,country,国语,2016/6/7,negative,happy
189,服装类,46.0,0.0,0.0,0.0,根本你不懂得爱我 - 梁爽凉爽,117.4538352,Dance,国语,2020/5/11,negative,sad
190,服装类,9.0,0.0,0.0,0.0,旧梦一场 (DJ余小磊版) - 未知,129.1992188,hiphop,国语,2020/6/30,negative,sad
191,服装类,199.0,0.0,0.0,0.0,后来-再听已是曲中人 - 未知,151.99908090000002,rock,国语,2008/3/3,negative,sad
192,服装类,156.0,0.0,0.0,0.0,毛不易《像我这样的人》就不用借酒《消愁》啦《二零三》 - 李光春,112.3471467,Pop,国语,2017/8/19,positive,mad
193,服装类,58.0,0.0,0.0,0.0,笑看风云 (片段) - 阿梨粤,123.046875,Pop,粤语,1995/1/1,positive,peaceful
194,服装类,23.0,0.0,0.0,0.0,雨碎江南 (琵琶版) - 纯音乐,151.99908090000002,country,,,,peaceful
195,服装类,3.0,0.0,0.0,0.0,爱的可能 - 师硕晗,95.703125,Pop,国语,2003/12/30,positive,peaceful
196,服装类,1.0,0.0,0.0,0.0,千本樱 (钢琴版) - 昼夜,151.99908090000002,rock,,,,happy
197,服装类,466.0,0.0,0.0,0.0,欢喜就好 (DJ在忠、DJ河源小天版) - 陈雷,129.1992188,Pop,闽南语,2019/8/31,positive,happy
198,服装类,88.0,0.0,0.0,0.0,你的万水千山 - 海来阿木,135.9991776,hiphop,,,,mad
199,服装类,346.0,0.0,0.0,0.0,遥远的你 - 美樱桃,135.9991776,rock,国语,2018/12/2,negative,happy
200,服装类,343.0,0.0,0.0,0.0,串烧 - 69、娜娜丽莎、虞姬、小可,129.1992188,hiphop,,,,happy
201,服装类,681.0,0.0,0.0,0.0,胖子多棒 (片段) - 李有诗,129.1992188,hiphop,,,,sad
202,服装类,27.0,0.0,0.0,0.0,Rendez-Vous Sur La Costa Del Sol (DJ版) - DJ,143.5546875,Dance,英语,2015/10/30,positive,mad
203,服装类,54.0,0.0,0.0,0.0,女孩子都是神明掉人间的可爱鬼 (Remix) - 芮宝,123.046875,Soundtrack,纯音乐,2013/12/25,positive,sad
204,服装类,1210.0,0.0,0.0,0.0,男人女人都不睡 - 69、DJ蒋先生、虞姬、多多,129.1992188,hiphop,纯音乐,2020/4/24,,happy
205,服装类,89.0,0.0,0.0,0.0,微笑吧 (DJ改版) - 张一阳,129.1992188,Dance,国语,2020/5/21,positive,sad
206,服装类,123.0,0.0,0.0,0.0,阳光总在风雨后 - 许美静,95.703125,Pop,国语,1997/1/1,positive,sad
207,服装类,7.0,0.0,0.0,0.0,Wonderful U - 张含韵,60.09265988,blues,英语,2016/3/14,positive,sad
208,服装类,52.0,0.0,0.0,0.0,少女的祈祷 - 杨千嬅,123.046875,Pop,粤语,2000/9/8,positive,sad
209,服装类,3780.0,0.0,0.0,0.0,一千零一次我爱你 - 李浩然,135.9991776,Pop,国语,2020/4/15,positive,happy
210,服装类,1610.0,0.0,0.0,0.0,入骨相思谁人懂 - 暴林、乔玲儿,95.703125,Pop,国语,2019/5/14,positive,happy
211,服装类,109.0,0.0,0.0,0.0,In The End - Tommee Profitt、Fleurie,103.359375,Metal,英语,2000/10/24,positive,mad
212,服装类,14.0,0.0,0.0,0.0,Béradêro - Chico César,135.9991776,country,葡萄牙语,2007/5/29,,sad
213,服装类,19.0,0.0,0.0,0.0,Kalinka (高潮版) - 小猫多鱼,129.1992188,Dance,俄语,2020/5/26,positive,sad
214,服装类,4798.0,0.0,0.0,0.0,不谓侠 - CRITTY,129.1992188,country,国语,2019/11/15,positive,happy
215,服装类,133.0,0.0,0.0,0.0,广寒宫 - 饭思思,107.6660156,Pop,国语,2019/4/30,positive,happy
